State,Group,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of Error 1,Total registered,"Percent registered
(Total)",Margin of Error 1,Total voted,"Percent voted
(Total)",Margin of Error 1,Year
CALIFORNIA,Male,"14,604","12,131",63.2,1.4,"7,663",52.5,1.5,"6,833",46.8,1.4,2016
CALIFORNIA,Female,"15,289","12,759",66.1,1.3,"8,433",55.2,1.4,"7,583",49.6,1.3,2016
CALIFORNIA,White alone,"21,592","18,104",66.7,1.1,"12,084",56,1.2,"10,908",50.5,1.1,2016
CALIFORNIA,White non-Hispanic alone,"12,480","11,954",73,1.4,"8,732",70,1.3,"8,020",64.3,1.4,2016
CALIFORNIA,Black alone,"1,849","1,768",57.6,4.6,"1,018",55,4.7,856,46.3,4.7,2016
CALIFORNIA,Asian alone,"4,838","3,585",58,3,"2,080",43,3.5,"1,859",38.4,2.9,2016
CALIFORNIA,Hispanic (of any race),"10,221","7,092",54.7,2.5,"3,882",38,3.1,"3,345",32.7,2.4,2016
CALIFORNIA,White alone or in combination,"22,327","18,781",67,1.1,"12,589",56.4,1.1,"11,363",50.9,1.1,2016
CALIFORNIA,Black alone or in combination,"2,111","2,007",57.9,4.3,"1,161",55,4.4,990,46.9,4.4,2016
CALIFORNIA,Asian alone or in combination,"5,066","3,798",59,2.9,"2,243",44.3,3.3,"2,007",39.6,2.9,2016
COLORADO,Total,"4,242","3,895",74.3,2.4,"2,893",68.2,2.3,"2,707",63.8,2.5,2016
COLORADO,Male,"2,102","1,902",73.7,3.4,"1,401",66.7,3.4,"1,297",61.7,3.5,2016
COLORADO,Female,"2,140","1,994",74.8,3.3,"1,492",69.7,3.2,"1,410",65.9,3.4,2016
COLORADO,White alone,"3,743","3,517",75.7,2.5,"2,663",71.2,2.4,"2,494",66.6,2.6,2016
COLORADO,White non-Hispanic alone,"3,181","3,125",77.5,2.5,"2,421",76.1,2.5,"2,281",71.7,2.7,2016
COLORADO,Black alone,185,167,74.1,13.9,124,67,13.7,124,67,13.9,2016
COLORADO,Asian alone,170,104,37,13.5,39,22.7,19.9,35,20.5,13,2016
COLORADO,Hispanic (of any race),633,426,63.8,10.3,272,42.9,12.2,237,37.4,10.1,2016
COLORADO,White alone or in combination,"3,857","3,595",75.4,2.4,"2,711",70.3,2.4,"2,538",65.8,2.5,2016
COLORADO,Black alone or in combination,188,170,74.6,13.7,127,67.6,13.4,127,67.6,13.7,2016
COLORADO,Asian alone or in combination,188,122,42.2,13.7,52,27.5,18.8,44,23.5,13,2016
CONNECTICUT,Total,"2,759","2,483",71,2.6,"1,763",63.9,2.6,"1,586",57.5,2.7,2016
CONNECTICUT,Male,"1,321","1,182",67.5,3.9,798,60.4,3.9,718,54.4,4,2016
CONNECTICUT,Female,"1,438","1,301",74.2,3.6,965,67.1,3.5,868,60.4,3.7,2016
CONNECTICUT,White alone,"2,258","2,090",73.6,2.8,"1,538",68.1,2.8,"1,378",61,3,2016
CONNECTICUT,White non-Hispanic alone,"1,959","1,897",75.2,2.9,"1,427",72.8,2.9,"1,287",65.7,3.1,2016
CONNECTICUT,Black alone,297,266,59.2,10.1,157,53,10.5,142,47.9,10.1,2016
CONNECTICUT,Asian alone,143,83,B,B,31,B,B,29,B,B,2016
CONNECTICUT,Hispanic (of any race),417,278,54.4,10.7,151,36.3,13.6,131,31.5,10.3,2016
CONNECTICUT,White alone or in combination,"2,281","2,113",73.9,2.8,"1,561",68.4,2.8,"1,401",61.4,2.9,2016
CONNECTICUT,Black alone or in combination,324,293,63,9.6,185,57,9.8,170,52.3,9.7,2016
CONNECTICUT,Asian alone or in combination,148,88,B,B,36,B,B,34,B,B,2016
DELAWARE,Total,729,669,72.8,2.6,487,66.8,2.5,417,57.2,2.7,2016
DELAWARE,Male,342,306,70.4,3.8,216,63,3.8,183,53.5,4,2016
DELAWARE,Female,387,362,74.8,3.4,271,70.1,3.4,234,60.4,3.7,2016
DELAWARE,White alone,527,494,75.4,2.9,372,70.6,2.9,319,60.6,3.1,2016
DELAWARE,White non-Hispanic alone,472,464,77.6,2.9,360,76.3,2.9,308,65.2,3.2,2016
DELAWARE,Black alone,148,144,66.5,7,96,64.9,7,82,55.1,7.3,2016
DELAWARE,Asian alone,44,22,B,B,12,B,B,11,B,B,2016
DELAWARE,Hispanic (of any race),66,39,B,B,19,B,B,14,B,B,2016
DELAWARE,White alone or in combination,535,501,75.5,2.9,378,70.7,2.8,323,60.3,3.1,2016
DELAWARE,Black alone or in combination,154,150,66.8,6.9,100,65.2,6.9,83,54.2,7.2,2016
DELAWARE,Asian alone or in combination,45,22,B,B,12,B,B,12,B,B,2016
DISTRICT OF COLUMBIA,Total,553,512,82.1,2.4,420,75.9,2.2,380,68.7,2.6,2016
DISTRICT OF COLUMBIA,Male,255,237,80.4,3.5,190,74.8,3.4,168,66.1,3.9,2016
DISTRICT OF COLUMBIA,Female,299,275,83.5,3.2,229,76.8,2.9,212,71,3.4,2016
DISTRICT OF COLUMBIA,White alone,264,243,86.3,3.2,209,79.5,2.9,194,73.7,3.5,2016
DISTRICT OF COLUMBIA,White non-Hispanic alone,231,222,88.2,3.1,195,84.6,2.8,181,78.6,3.5,2016
DISTRICT OF COLUMBIA,Black alone,250,238,77.5,4.4,184,73.9,4.3,162,64.8,4.8,2016
DISTRICT OF COLUMBIA,Asian alone,27,18,B,B,14,B,B,13,B,B,2016
DISTRICT OF COLUMBIA,Hispanic (of any race),42,28,B,B,20,B,B,18,B,B,2016
DISTRICT OF COLUMBIA,White alone or in combination,274,253,86.6,3.2,219,80,2.8,203,74.3,3.4,2016
DISTRICT OF COLUMBIA,Black alone or in combination,259,247,77.7,4.3,192,74.2,4.2,169,65.4,4.7,2016
DISTRICT OF COLUMBIA,Asian alone or in combination,29,20,B,B,16,B,B,15,B,B,2016
FLORIDA,Total,"16,202","14,428",66.6,1.3,"9,604",59.3,1.3,"8,578",52.9,1.3,2016
FLORIDA,Male,"7,736","6,868",63.7,1.8,"4,377",56.6,1.9,"3,920",50.7,1.9,2016
FLORIDA,Female,"8,466","7,560",69.1,1.7,"5,226",61.7,1.7,"4,658",55,1.8,2016
FLORIDA,White alone,"13,097","11,793",69,1.4,"8,141",62.2,1.4,"7,277",55.6,1.4,2016
FLORIDA,White non-Hispanic alone,"9,307","9,066",70.9,1.6,"6,432",69.1,1.6,"5,781",62.1,1.6,2016
FLORIDA,Black alone,"2,434","2,083",55.2,4,"1,149",47.2,4.3,"1,051",43.2,4,2016
FLORIDA,Asian alone,483,381,50.3,9.2,192,39.7,10.5,154,31.9,8.7,2016
FLORIDA,Hispanic (of any race),"4,010","2,871",62,4,"1,779",44.4,4.6,"1,552",38.7,3.9,2016
FLORIDA,White alone or in combination,"13,217","11,899",69,1.4,"8,212",62.1,1.4,"7,336",55.5,1.4,2016
FLORIDA,Black alone or in combination,"2,496","2,135",55.4,3.9,"1,184",47.4,4.2,"1,077",43.2,3.9,2016
FLORIDA,Asian alone or in combination,525,424,50.1,8.8,212,40.4,10,170,32.3,8.4,2016
GEORGIA,Total,"7,626","7,048",69.4,1.8,"4,892",64.1,1.8,"4,246",55.7,1.9,2016
GEORGIA,Male,"3,623","3,317",67.4,2.7,"2,237",61.7,2.7,"1,908",52.7,2.7,2016
GEORGIA,Female,"4,003","3,731",71.2,2.5,"2,655",66.3,2.5,"2,338",58.4,2.6,2016
GEORGIA,White alone,"4,798","4,453",71.4,2.3,"3,179",66.2,2.2,"2,786",58.1,2.4,2016
GEORGIA,White non-Hispanic alone,"4,184","4,142",73.1,2.3,"3,028",72.4,2.3,"2,643",63.2,2.5,2016
GEORGIA,Black alone,"2,325","2,255",68.8,3.9,"1,552",66.8,3.9,"1,346",57.9,4.1,2016
GEORGIA,Asian alone,365,225,44.9,9.8,101,27.7,13.9,71,19.3,8.7,2016
GEORGIA,Hispanic (of any race),680,335,50.2,8.6,168,24.8,14.2,161,23.6,8.5,2016
GEORGIA,White alone or in combination,"4,872","4,526",71.2,2.2,"3,224",66.2,2.2,"2,815",57.8,2.3,2016
GEORGIA,Black alone or in combination,"2,364","2,294",68.8,3.9,"1,578",66.8,3.9,"1,360",57.5,4.1,2016
GEORGIA,Asian alone or in combination,375,235,45.1,9.7,106,28.3,13.6,71,18.8,8.4,2016
HAWAII,Total,"1,064",974,54.4,2.7,530,49.8,2.8,460,43.3,2.7,2016
HAWAII,Male,519,476,52.3,3.9,249,48,4,215,41.5,3.8,2016
HAWAII,Female,545,498,56.5,3.8,281,51.6,3.9,245,45,3.8,2016
HAWAII,White alone,225,220,65.4,5.7,144,63.9,5.7,129,57.4,5.8,2016
HAWAII,White non-Hispanic alone,209,205,67.5,5.8,138,66.3,5.8,126,60.2,6,2016
HAWAII,Black alone,24,24,B,B,16,B,B,15,B,B,2016
HAWAII,Asian alone,492,417,49.3,5,206,41.8,5.5,182,37,4.9,2016
HAWAII,Hispanic (of any race),78,74,B,B,43,B,B,36,B,B,2016
HAWAII,White alone or in combination,368,361,63.2,4.5,229,62.2,4.5,197,53.6,4.6,2016
HAWAII,Black alone or in combination,31,30,B,B,19,B,B,17,B,B,2016
HAWAII,Asian alone or in combination,624,548,51.2,4.4,281,45,4.8,246,39.4,4.4,2016
IDAHO,Total,"1,224","1,150",68.7,2.7,790,64.5,2.7,714,58.3,2.7,2016
IDAHO,Male,607,571,67.5,3.8,386,63.5,3.8,346,57,3.9,2016
IDAHO,Female,618,579,69.8,3.7,404,65.4,3.7,368,59.5,3.8,2016
IDAHO,White alone,"1,151","1,095",69.1,2.7,757,65.8,2.7,687,59.7,2.8,2016
IDAHO,White non-Hispanic alone,"1,002",994,71.5,2.8,711,70.9,2.8,647,64.6,2.9,2016
IDAHO,Black alone,6,5,B,B,3,B,B,2,B,B,2016
IDAHO,Asian alone,27,12,B,B,7,B,B,6,B,B,2016
IDAHO,Hispanic (of any race),163,114,48,11.3,55,33.5,14.3,49,29.9,11,2016
IDAHO,White alone or in combination,"1,175","1,118",68.9,2.7,770,65.5,2.7,698,59.3,2.8,2016
IDAHO,Black alone or in combination,8,7,B,B,3,B,B,2,B,B,2016
IDAHO,Asian alone or in combination,31,14,B,B,9,B,B,8,B,B,2016
ILLINOIS,Total,"9,723","8,970",74.3,1.6,"6,665",68.5,1.5,"5,719",58.8,1.7,2016
ILLINOIS,Male,"4,692","4,307",73.7,2.3,"3,174",67.7,2.2,"2,673",57,2.4,2016
ILLINOIS,Female,"5,031","4,663",74.9,2.2,"3,490",69.4,2.1,"3,046",60.6,2.3,2016
ILLINOIS,White alone,"7,647","7,100",75.9,1.7,"5,391",70.5,1.7,"4,636",60.6,1.9,2016
ILLINOIS,White non-Hispanic alone,"6,297","6,153",78.6,1.8,"4,839",76.8,1.7,"4,174",66.3,2,2016
ILLINOIS,Black alone,"1,358","1,321",70.6,5,932,68.6,5,776,57.1,5.4,2016
ILLINOIS,Asian alone,542,391,58.9,8.9,231,42.5,10.4,200,37,8.7,2016
ILLINOIS,Hispanic (of any race),"1,490","1,073",59.1,6.7,634,42.5,7.8,527,35.4,6.5,2016
ILLINOIS,White alone or in combination,"7,711","7,165",75.9,1.7,"5,438",70.5,1.7,"4,679",60.7,1.8,2016
ILLINOIS,Black alone or in combination,"1,390","1,353",71.2,5,963,69.3,4.9,807,58.1,5.3,2016
ILLINOIS,Asian alone or in combination,563,408,59.7,8.7,244,43.3,10.2,214,37.9,8.6,2016
INDIANA,Total,"4,988","4,795",68.8,2.2,"3,298",66.1,2.2,"2,795",56,2.3,2016
INDIANA,Male,"2,426","2,306",69.2,3.2,"1,595",65.7,3.2,"1,343",55.4,3.3,2016
INDIANA,Female,"2,562","2,490",68.4,3.1,"1,704",66.5,3.1,"1,452",56.6,3.2,2016
INDIANA,White alone,"4,309","4,191",69.1,2.3,"2,895",67.2,2.3,"2,467",57.2,2.5,2016
INDIANA,White non-Hispanic alone,"4,102","4,059",69.8,2.4,"2,832",69,2.4,"2,409",58.7,2.5,2016
INDIANA,Black alone,473,442,64.2,9,284,59.9,9.1,228,48.2,9.1,2016
INDIANA,Asian alone,109,77,B,B,55,B,B,48,B,B,2016
INDIANA,Hispanic (of any race),224,138,50.1,15.9,69,30.9,22,63,28.3,15.5,2016
INDIANA,White alone or in combination,"4,378","4,260",69.2,2.3,"2,949",67.4,2.3,"2,513",57.4,2.5,2016
INDIANA,Black alone or in combination,491,460,64.9,8.8,298,60.8,8.8,238,48.5,9,2016
INDIANA,Asian alone or in combination,130,97,B,B,72,B,B,65,B,B,2016
IOWA,Total,"2,394","2,292",72.3,2.6,"1,657",69.2,2.5,"1,454",60.7,2.7,2016
IOWA,Male,"1,172","1,111",70.2,3.7,780,66.5,3.7,673,57.4,3.9,2016
IOWA,Female,"1,221","1,181",74.2,3.5,877,71.8,3.5,781,63.9,3.7,2016
IOWA,White alone,"2,201","2,159",73.5,2.6,"1,587",72.1,2.6,"1,393",63.3,2.8,2016
IOWA,White non-Hispanic alone,"2,126","2,114",73.7,2.6,"1,558",73.3,2.6,"1,370",64.4,2.8,2016
IOWA,Black alone,73,65,B,B,39,B,B,34,B,B,2016
IOWA,Asian alone,66,30,B,B,15,B,B,13,B,B,2016
IOWA,Hispanic (of any race),97,51,B,B,29,B,B,23,B,B,2016
IOWA,White alone or in combination,"2,226","2,184",73.2,2.6,"1,599",71.8,2.6,"1,403",63,2.8,2016
IOWA,Black alone or in combination,84,76,B,B,39,B,B,34,B,B,2016
IOWA,Asian alone or in combination,68,32,B,B,17,B,B,13,B,B,2016
KANSAS,Total,"2,142","2,029",70.9,2.8,"1,438",67.1,2.8,"1,243",58,3,2016
KANSAS,Male,"1,048",992,67.6,4.1,671,64,4.1,570,54.4,4.3,2016
KANSAS,Female,"1,094","1,036",74,3.8,767,70.1,3.8,673,61.5,4.1,2016
KANSAS,White alone,"1,883","1,798",72.7,2.9,"1,307",69.4,2.9,"1,149",61,3.1,2016
KANSAS,White non-Hispanic alone,"1,678","1,672",74.4,3,"1,244",74.1,3,"1,091",65,3.2,2016
KANSAS,Black alone,121,121,61.8,14.8,75,61.8,14.8,54,44.5,15.1,2016
KANSAS,Asian alone,59,31,B,B,15,B,B,7,B,B,2016
KANSAS,Hispanic (of any race),217,138,54.7,14.1,76,34.9,18.4,68,31.2,13.7,2016
KANSAS,White alone or in combination,"1,923","1,838",72.6,2.9,"1,335",69.4,2.9,"1,170",60.8,3.1,2016
KANSAS,Black alone or in combination,136,136,60.4,14,82,60.4,14,56,41.2,14.1,2016
KANSAS,Asian alone or in combination,64,36,B,B,19,B,B,11,B,B,2016
KENTUCKY,Total,"3,348","3,246",69.4,2.7,"2,253",67.3,2.7,"1,850",55.3,2.8,2016
KENTUCKY,Male,"1,614","1,550",66.8,4,"1,035",64.1,4,861,53.3,4.1,2016
KENTUCKY,Female,"1,734","1,697",71.8,3.6,"1,218",70.3,3.6,989,57,3.9,2016
KENTUCKY,White alone,"3,014","2,953",69,2.8,"2,038",67.6,2.8,"1,669",55.4,3,2016
KENTUCKY,White non-Hispanic alone,"2,892","2,881",69.3,2.8,"1,998",69.1,2.8,"1,634",56.5,3.1,2016
KENTUCKY,Black alone,250,231,81.2,11,187,74.9,10.3,159,63.7,12.2,2016
KENTUCKY,Asian alone,28,14,B,B,3,B,B,3,B,B,2016
KENTUCKY,Hispanic (of any race),138,79,B,B,44,B,B,38,B,B,2016
KENTUCKY,White alone or in combination,"3,052","2,991",68.7,2.8,"2,055",67.3,2.8,"1,680",55,3,2016
KENTUCKY,Black alone or in combination,281,262,80,10.4,210,74.5,9.9,175,62.3,11.6,2016
KENTUCKY,Asian alone or in combination,36,23,B,B,8,B,B,8,B,B,2016
LOUISIANA,Total,"3,463","3,353",73,2.5,"2,446",70.6,2.4,"2,067",59.7,2.6,2016
LOUISIANA,Male,"1,650","1,580",70.8,3.6,"1,119",67.8,3.6,925,56.1,3.9,2016
LOUISIANA,Female,"1,813","1,773",74.8,3.3,"1,327",73.2,3.3,"1,142",63,3.6,2016
LOUISIANA,White alone,"2,251","2,193",74.4,3,"1,631",72.4,3,"1,368",60.8,3.3,2016
LOUISIANA,White non-Hispanic alone,"2,112","2,100",74.2,3,"1,557",73.7,3,"1,311",62.1,3.3,2016
LOUISIANA,Black alone,"1,062","1,054",71.6,5.3,755,71.1,5.3,646,60.9,5.7,2016
LOUISIANA,Asian alone,101,65,B,B,26,B,B,23,B,B,2016
LOUISIANA,Hispanic (of any race),174,121,81.5,18.7,99,56.7,17.6,82,47.2,18.9,2016
LOUISIANA,White alone or in combination,"2,275","2,216",74.6,3,"1,652",72.6,2.9,"1,386",60.9,3.2,2016
LOUISIANA,Black alone or in combination,"1,078","1,070",72,5.3,771,71.5,5.3,661,61.3,5.7,2016
LOUISIANA,Asian alone or in combination,103,67,B,B,26,B,B,23,B,B,2016
MAINE,Total,"1,058","1,038",80,2.5,830,78.5,2.5,754,71.3,2.8,2016
MAINE,Male,510,500,77.5,3.8,388,76.1,3.7,347,68.1,4.1,2016
MAINE,Female,548,537,82.3,3.4,442,80.7,3.3,408,74.3,3.7,2016
MAINE,White alone,"1,001",988,80.3,2.6,793,79.2,2.5,720,71.9,2.8,2016
MAINE,White non-Hispanic alone,982,972,80.9,2.5,786,80.1,2.5,713,72.6,2.8,2016
MAINE,Black alone,13,10,B,B,9,B,B,7,B,B,2016
MAINE,Asian alone,11,8,B,B,6,B,B,5,B,B,2016
MAINE,Hispanic (of any race),20,16,B,B,7,B,B,7,B,B,2016
MAINE,White alone or in combination,"1,026","1,013",80,2.5,811,79,2.5,738,71.9,2.8,2016
MAINE,Black alone or in combination,17,14,B,B,9,B,B,7,B,B,2016
MAINE,Asian alone or in combination,13,9,B,B,7,B,B,6,B,B,2016
MARYLAND,Total,"4,623","4,158",74.9,2.3,"3,114",67.3,2.3,"2,737",59.2,2.4,2016
MARYLAND,Male,"2,203","1,963",74.1,3.4,"1,454",66,3.3,"1,253",56.9,3.5,2016
MARYLAND,Female,"2,420","2,194",75.6,3.2,"1,659",68.6,3.1,"1,484",61.3,3.3,2016
MARYLAND,White alone,"2,784","2,593",76.2,2.9,"1,975",70.9,2.8,"1,727",62,3.1,2016
MARYLAND,White non-Hispanic alone,"2,434","2,392",76.5,2.9,"1,829",75.2,2.9,"1,605",65.9,3.2,2016
MARYLAND,Black alone,"1,386","1,289",74,5.1,954,68.9,5,858,61.9,5.3,2016
MARYLAND,Asian alone,349,213,69.1,11.2,147,42,13.4,117,33.4,10.7,2016
MARYLAND,Hispanic (of any race),450,250,68.2,12.1,170,37.9,15.5,148,32.8,11.7,2016
MARYLAND,White alone or in combination,"2,820","2,629",76.2,2.9,"2,002",71,2.8,"1,752",62.1,3.1,2016
MARYLAND,Black alone or in combination,"1,421","1,324",74.3,5,984,69.2,4.9,884,62.2,5.2,2016
MARYLAND,Asian alone or in combination,349,213,69.1,11.2,147,42,13.4,117,33.4,10.7,2016
MASSACHUSETTS,Total,"5,374","4,967",73.7,2.1,"3,660",68.1,2,"3,315",61.7,2.2,2016
MASSACHUSETTS,Male,"2,585","2,382",74.2,3,"1,767",68.3,2.9,"1,599",61.9,3.1,2016
MASSACHUSETTS,Female,"2,788","2,585",73.2,2.9,"1,893",67.9,2.8,"1,715",61.5,3,2016
MASSACHUSETTS,White alone,"4,464","4,260",75.8,2.2,"3,229",72.3,2.1,"2,919",65.4,2.3,2016
MASSACHUSETTS,White non-Hispanic alone,"4,083","3,969",77.5,2.2,"3,078",75.4,2.2,"2,789",68.3,2.4,2016
MASSACHUSETTS,Black alone,438,368,72.4,9.2,266,60.8,9.2,242,55.3,9.4,2016
MASSACHUSETTS,Asian alone,353,238,53.8,10.6,128,36.3,13.4,121,34.2,10.4,2016
MASSACHUSETTS,Hispanic (of any race),500,397,50.1,11.2,199,39.8,12.9,177,35.4,11,2016
MASSACHUSETTS,White alone or in combination,"4,573","4,357",74.9,2.2,"3,263",71.4,2.1,"2,950",64.5,2.3,2016
MASSACHUSETTS,Black alone or in combination,513,431,65.9,8.7,284,55.4,9,260,50.7,8.7,2016
MASSACHUSETTS,Asian alone or in combination,369,254,52.4,10.3,133,36,12.9,126,34.1,10.2,2016
MICHIGAN,Total,"7,624","7,332",74.1,1.7,"5,434",71.3,1.7,"4,713",61.8,1.8,2016
MICHIGAN,Male,"3,650","3,473",73.1,2.5,"2,540",69.6,2.5,"2,150",58.9,2.7,2016
MICHIGAN,Female,"3,974","3,859",75,2.3,"2,893",72.8,2.3,"2,563",64.5,2.5,2016
MICHIGAN,White alone,"6,264","6,071",75.4,1.8,"4,579",73.1,1.8,"3,984",63.6,2,2016
MICHIGAN,White non-Hispanic alone,"6,006","5,890",76.4,1.8,"4,498",74.9,1.8,"3,914",65.2,2,2016
MICHIGAN,Black alone,"1,039","1,020",69.4,5.8,708,68.1,5.8,623,59.9,6.1,2016
MICHIGAN,Asian alone,182,108,58.3,14.7,63,34.5,19.8,58,32,14.4,2016
MICHIGAN,Hispanic (of any race),288,206,49,14.6,101,35,18.1,74,25.7,13.3,2016
MICHIGAN,White alone or in combination,"6,365","6,167",75.4,1.8,"4,648",73,1.8,"4,021",63.2,2,2016
MICHIGAN,Black alone or in combination,"1,100","1,080",69.6,5.6,752,68.4,5.6,642,58.4,5.9,2016
MICHIGAN,Asian alone or in combination,192,113,55.6,14.1,63,32.7,19.5,58,30.4,13.8,2016
MINNESOTA,Total,"4,190","3,985",76.7,2.3,"3,055",72.9,2.2,"2,738",65.3,2.4,2016
MINNESOTA,Male,"2,063","1,952",74.6,3.3,"1,457",70.6,3.3,"1,312",63.6,3.5,2016
MINNESOTA,Female,"2,127","2,033",78.6,3.1,"1,598",75.1,3,"1,426",67.1,3.4,2016
MINNESOTA,White alone,"3,614","3,506",77.7,2.4,"2,723",75.4,2.3,"2,457",68,2.6,2016
MINNESOTA,White non-Hispanic alone,"3,425","3,405",78.7,2.3,"2,680",78.2,2.3,"2,417",70.6,2.6,2016
