State,Race and Hispanic origin,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of Error1,Total registered,"Percent registered
(Total)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,Year
ARKANSAS,Hispanic (of any race),136,55,(B),(B),20,(B),(B),14,(B),(B),2014
ARKANSAS,White alone or in combination,"1,795","1,712",63.5,2.8,"1,087",60.6,2.8,670,37.3,2.7,2014
ARKANSAS,Black alone or in combination,311,307,60,8.1,184,59.3,8.1,116,37.3,8,2014
ARKANSAS,Asian alone or in combination,57,31,(B),(B),8,(B),(B),2,(B),(B),2014
CALIFORNIA,Total,"29,030","24,455",57.7,0.9,"14,113",48.6,1,"8,949",30.8,0.8,2014
CALIFORNIA,Male,"14,156","11,811",56.1,1.3,"6,622",46.8,1.4,"4,240",30,1.2,2014
CALIFORNIA,Female,"14,874","12,645",59.2,1.2,"7,491",50.4,1.3,"4,708",31.7,1.2,2014
CALIFORNIA,White alone,"21,429","18,060",59.5,1,"10,753",50.2,1.1,"7,093",33.1,1,2014
CALIFORNIA,.White non-Hispanic alone,"12,326","11,907",65.8,1.3,"7,830",63.5,1.3,"5,551",45,1.4,2014
CALIFORNIA,Black alone,"1,846","1,787",58.4,4.2,"1,043",56.5,4.3,535,29,3.9,2014
CALIFORNIA,Asian alone,"4,409","3,486",46.7,2.8,"1,628",36.9,3.2,933,21.2,2.4,2014
CALIFORNIA,Hispanic (of any race),"10,023","6,859",48,2.2,"3,294",32.9,2.9,"1,707",17,1.8,2014
CALIFORNIA,White alone or in combination,"21,993","18,565",59.8,1,"11,107",50.5,1.1,"7,252",33,1,2014
CALIFORNIA,Black alone or in combination,"1,997","1,913",59.3,4.1,"1,134",56.8,4.1,570,28.5,3.7,2014
CALIFORNIA,Asian alone or in combination,"4,598","3,660",47.6,2.7,"1,742",37.9,3.2,986,21.5,2.3,2014
COLORADO,Total,"4,009","3,732",71.1,2.3,"2,654",66.2,2.3,"2,211",55.2,2.4,2014
COLORADO,Male,"1,979","1,849",69.7,3.3,"1,288",65.1,3.2,"1,059",53.5,3.4,2014
COLORADO,Female,"2,030","1,883",72.5,3.2,"1,366",67.3,3.1,"1,152",56.8,3.3,2014
COLORADO,White alone,"3,637","3,427",71.6,2.4,"2,453",67.4,2.3,"2,085",57.3,2.5,2014
COLORADO,.White non-Hispanic alone,"3,010","2,965",73.9,2.5,"2,192",72.8,2.4,"1,888",62.7,2.7,2014
COLORADO,Black alone,147,132,57,15.2,75,51.2,15.8,56,38,14.7,2014
COLORADO,Asian alone,112,63,(B),(B),48,(B),(B),40,(B),(B),2014
COLORADO,Hispanic (of any race),701,534,60.1,9,321,45.8,10.1,218,31.1,8.4,2014
COLORADO,White alone or in combination,"3,688","3,478",71.8,2.3,"2,498",67.7,2.3,"2,105",57.1,2.5,2014
COLORADO,Black alone or in combination,157,142,55.1,14.7,78,49.9,15.3,57,36.5,14.1,2014
COLORADO,Asian alone or in combination,138,88,83.1,16.3,74,53.3,15.3,48,35,15.6,2014
CONNECTICUT,Total,"2,783","2,560",65.1,2.4,"1,668",59.9,2.5,"1,195",43,2.5,2014
CONNECTICUT,Male,"1,333","1,217",62.9,3.6,765,57.4,3.6,588,44.1,3.6,2014
CONNECTICUT,Female,"1,450","1,343",67.2,3.4,903,62.3,3.4,607,41.9,3.4,2014
CONNECTICUT,White alone,"2,344","2,198",67.1,2.6,"1,475",62.9,2.6,"1,065",45.4,2.7,2014
CONNECTICUT,.White non-Hispanic alone,"2,076","2,014",68.2,2.7,"1,374",66.2,2.7,"1,009",48.6,2.9,2014
CONNECTICUT,Black alone,291,246,49.2,9.2,121,41.7,10.2,83,28.4,8.4,2014
CONNECTICUT,Asian alone,101,72,(B),(B),40,(B),(B),28,(B),(B),2014
CONNECTICUT,Hispanic (of any race),319,220,52.6,11.2,116,36.3,13.9,68,21.3,9.5,2014
CONNECTICUT,White alone or in combination,"2,376","2,231",67.4,2.6,"1,502",63.2,2.6,"1,083",45.6,2.7,2014
CONNECTICUT,Black alone or in combination,305,261,50.1,9,131,42.8,9.9,86,28.1,8.2,2014
CONNECTICUT,Asian alone or in combination,101,72,(B),(B),40,(B),(B),28,(B),(B),2014
DELAWARE,Total,712,661,66.8,2.4,442,62,2.5,299,42,2.5,2014
DELAWARE,Male,337,311,66.2,3.6,206,61.2,3.6,139,41.2,3.6,2014
DELAWARE,Female,375,350,67.3,3.4,236,62.8,3.4,160,42.7,3.4,2014
DELAWARE,White alone,510,484,69.4,2.8,336,65.9,2.8,229,44.9,3,2014
DELAWARE,.White non-Hispanic alone,471,465,70.2,2.9,326,69.3,2.9,224,47.7,3.1,2014
DELAWARE,Black alone,147,138,66.1,6.5,91,61.9,6.6,59,40.3,6.6,2014
DELAWARE,Asian alone,32,20,(B),(B),4,(B),(B),3,(B),(B),2014
DELAWARE,Hispanic (of any race),56,31,(B),(B),14,(B),(B),5,(B),(B),2014
DELAWARE,White alone or in combination,523,496,69.2,2.8,344,65.7,2.8,234,44.7,2.9,2014
DELAWARE,Black alone or in combination,157,146,67,6.3,98,62.4,6.4,64,40.7,6.4,2014
DELAWARE,Asian alone or in combination,33,20,(B),(B),5,(B),(B),3,(B),(B),2014
DISTRICT OF COLUMBIA,Total,538,480,73.5,2.4,353,65.6,2.4,247,45.8,2.6,2014
DISTRICT OF COLUMBIA,Male,249,219,75.3,3.6,165,66.2,3.5,118,47.1,3.8,2014
DISTRICT OF COLUMBIA,Female,289,261,71.9,3.3,188,65.1,3.3,129,44.8,3.5,2014
DISTRICT OF COLUMBIA,White alone,251,220,79.7,3.4,176,70.1,3.2,123,49.1,3.8,2014
DISTRICT OF COLUMBIA,.White non-Hispanic alone,213,202,80.6,3.5,162,76.3,3.3,113,53.3,4.1,2014
DISTRICT OF COLUMBIA,Black alone,248,235,69.7,4.3,164,66.1,4.3,114,46.1,4.6,2014
DISTRICT OF COLUMBIA,Asian alone,21,10,(B),(B),5,(B),(B),2,(B),(B),2014
DISTRICT OF COLUMBIA,Hispanic (of any race),53,28,(B),(B),19,(B),(B),13,(B),(B),2014
DISTRICT OF COLUMBIA,White alone or in combination,262,231,79,3.4,182,69.7,3.2,128,48.9,3.7,2014
DISTRICT OF COLUMBIA,Black alone or in combination,259,244,69.3,4.3,169,65.3,4.3,119,45.9,4.5,2014
DISTRICT OF COLUMBIA,Asian alone or in combination,25,13,(B),(B),7,(B),(B),3,(B),(B),2014
FLORIDA,Total,"15,414","13,879",62.6,1.2,"8,691",56.4,1.2,"6,220",40.4,1.2,2014
FLORIDA,Male,"7,335","6,551",61.2,1.7,"4,008",54.6,1.8,"2,840",38.7,1.7,2014
FLORIDA,Female,"8,079","7,327",63.9,1.6,"4,683",58,1.7,"3,380",41.8,1.6,2014
FLORIDA,White alone,"12,507","11,266",62.2,1.3,"7,010",56.1,1.4,"5,071",40.6,1.3,2014
FLORIDA,.White non-Hispanic alone,"9,134","8,922",62.7,1.5,"5,596",61.3,1.5,"4,237",46.4,1.6,2014
FLORIDA,Black alone,"2,331","2,112",64.3,3.7,"1,358",58.2,3.8,929,39.8,3.6,2014
FLORIDA,Asian alone,374,299,61.5,9.7,184,49,10.6,128,34.3,9.2,2014
FLORIDA,Hispanic (of any race),"3,530","2,480",60.2,3.9,"1,493",42.3,4.6,892,25.3,3.4,2014
FLORIDA,White alone or in combination,"12,646","11,406",62.3,1.3,"7,101",56.2,1.3,"5,127",40.5,1.3,2014
FLORIDA,Black alone or in combination,"2,401","2,182",63.5,3.6,"1,386",57.7,3.7,948,39.5,3.6,2014
FLORIDA,Asian alone or in combination,407,331,62.1,9.3,206,50.5,10,143,35.2,8.9,2014
GEORGIA,Total,"7,306","6,759",63.7,1.7,"4,306",58.9,1.8,"2,919",40,1.7,2014
GEORGIA,Male,"3,458","3,143",62.3,2.5,"1,959",56.7,2.6,"1,297",37.5,2.5,2014
GEORGIA,Female,"3,848","3,616",64.9,2.4,"2,347",61,2.4,"1,622",42.2,2.4,2014
GEORGIA,White alone,"4,569","4,236",65.3,2.2,"2,764",60.5,2.2,"1,866",40.8,2.2,2014
GEORGIA,.White non-Hispanic alone,"4,142","4,097",66.1,2.2,"2,708",65.4,2.2,"1,835",44.3,2.3,2014
GEORGIA,Black alone,"2,199","2,150",62.3,3.8,"1,339",60.9,3.8,925,42.1,3.9,2014
GEORGIA,Asian alone,388,242,44.5,8.7,108,27.7,12.2,62,16,7.1,2014
GEORGIA,Hispanic (of any race),508,207,48.1,8.4,99,19.6,16.5,62,12.1,6.9,2014
GEORGIA,White alone or in combination,"4,655","4,317",65.4,2.2,"2,826",60.7,2.2,"1,901",40.8,2.2,2014
GEORGIA,Black alone or in combination,"2,272","2,224",62.3,3.7,"1,385",61,3.8,968,42.6,3.8,2014
GEORGIA,Asian alone or in combination,413,267,49.7,8.8,133,32.1,11.7,71,17.1,7.1,2014
HAWAII,Total,"1,035",956,51.3,2.5,490,47.4,2.6,399,38.6,2.4,2014
HAWAII,Male,502,475,51.2,3.6,243,48.4,3.7,197,39.2,3.5,2014
HAWAII,Female,533,481,51.4,3.5,247,46.4,3.7,202,38,3.4,2014
HAWAII,White alone,228,217,54.2,5.3,117,51.6,5.5,95,41.8,5.3,2014
HAWAII,.White non-Hispanic alone,211,201,54.6,5.5,110,52.1,5.7,91,43,5.5,2014
HAWAII,Black alone,19,18,(B),(B),8,(B),(B),7,(B),(B),2014
HAWAII,Asian alone,482,428,53.2,4.6,228,47.2,4.9,196,40.6,4.6,2014
HAWAII,Hispanic (of any race),64,62,(B),(B),31,(B),(B),21,(B),(B),2014
HAWAII,White alone or in combination,352,340,55.5,4.3,189,53.7,4.3,146,41.3,4.2,2014
HAWAII,Black alone or in combination,26,25,(B),(B),10,(B),(B),7,(B),(B),2014
HAWAII,Asian alone or in combination,605,550,54.1,4.1,297,49.1,4.3,243,40.1,4.1,2014
IDAHO,Total,"1,182","1,105",60.7,2.6,671,56.8,2.6,462,39.1,2.5,2014
IDAHO,Male,585,535,58.2,3.7,312,53.3,3.8,213,36.5,3.5,2014
IDAHO,Female,597,569,63.1,3.6,359,60.1,3.6,248,41.6,3.6,2014
IDAHO,White alone,"1,110","1,044",62.1,2.6,648,58.4,2.7,452,40.7,2.6,2014
IDAHO,.White non-Hispanic alone,963,951,65.8,2.7,625,64.9,2.7,435,45.2,2.8,2014
IDAHO,Black alone,10,10,(B),(B),1,(B),(B),-,(B),(B),2014
IDAHO,Asian alone,20,12,(B),(B),4,(B),(B),2,(B),(B),2014
IDAHO,Hispanic (of any race),153,96,24,8.1,23,15.1,12.2,17,11.1,7.1,2014
IDAHO,White alone or in combination,"1,127","1,060",62.1,2.6,658,58.4,2.6,458,40.7,2.6,2014
IDAHO,Black alone or in combination,15,15,(B),(B),3,(B),(B),-,(B),(B),2014
IDAHO,Asian alone or in combination,22,14,(B),(B),7,(B),(B),2,(B),(B),2014
ILLINOIS,Total,"9,757","8,951",63.9,1.5,"5,716",58.6,1.5,"3,734",38.3,1.5,2014
ILLINOIS,Male,"4,714","4,239",60.7,2.2,"2,574",54.6,2.3,"1,730",36.7,2.1,2014
ILLINOIS,Female,"5,042","4,712",66.7,2.1,"3,142",62.3,2.1,"2,004",39.7,2.1,2014
ILLINOIS,White alone,"7,648","7,097",65.9,1.7,"4,673",61.1,1.7,"3,070",40.1,1.7,2014
ILLINOIS,.White non-Hispanic alone,"6,382","6,237",68.4,1.8,"4,269",66.9,1.8,"2,857",44.8,1.9,2014
ILLINOIS,Black alone,"1,348","1,329",57.8,4.9,768,57,5,535,39.7,4.9,2014
ILLINOIS,Asian alone,616,396,42.2,6.8,167,27.1,9.5,73,11.9,5,2014
ILLINOIS,Hispanic (of any race),"1,316",892,45.9,6.1,410,31.1,7.9,218,16.6,4.9,2014
ILLINOIS,White alone or in combination,"7,739","7,176",66.1,1.7,"4,743",61.3,1.7,"3,102",40.1,1.7,2014
ILLINOIS,Black alone or in combination,"1,387","1,368",58.6,4.9,801,57.7,4.9,558,40.2,4.8,2014
ILLINOIS,Asian alone or in combination,659,427,45,6.8,192,29.2,9.2,78,11.8,4.8,2014
INDIANA,Total,"4,913","4,693",64.9,2.1,"3,048",62,2.1,"1,646",33.5,2,2014
INDIANA,Male,"2,357","2,244",63.5,3,"1,426",60.5,3,795,33.7,2.9,2014
INDIANA,Female,"2,556","2,449",66.2,2.9,"1,622",63.5,2.9,850,33.3,2.8,2014
INDIANA,White alone,"4,365","4,212",66.2,2.2,"2,788",63.9,2.2,"1,498",34.3,2.2,2014
INDIANA,.White non-Hispanic alone,"4,062","4,042",67.2,2.2,"2,715",66.8,2.2,"1,463",36,2.3,2014
INDIANA,Black alone,395,385,58.8,9,226,57.4,9.1,143,36.4,8.8,2014
INDIANA,Asian alone,95,38,(B),(B),4,(B),(B),-,(B),(B),2014
INDIANA,Hispanic (of any race),314,180,43.1,11.5,78,24.8,17.4,35,11.2,8.4,2014
INDIANA,White alone or in combination,"4,395","4,242",66,2.2,"2,801",63.7,2.2,"1,502",34.2,2.1,2014
INDIANA,Black alone or in combination,420,410,58.4,8.8,240,57.1,8.8,147,35.1,8.5,2014
INDIANA,Asian alone or in combination,99,42,(B),(B),4,(B),(B),-,(B),(B),2014
IOWA,Total,"2,336","2,275",69.6,2.4,"1,584",67.8,2.4,"1,203",51.5,2.6,2014
IOWA,Male,"1,154","1,120",67.4,3.5,755,65.4,3.5,569,49.3,3.6,2014
IOWA,Female,"1,182","1,155",71.8,3.3,829,70.2,3.3,634,53.7,3.6,2014
IOWA,White alone,"2,171","2,146",70.6,2.4,"1,515",69.8,2.4,"1,154",53.1,2.7,2014
IOWA,.White non-Hispanic alone,"2,099","2,096",71.4,2.4,"1,496",71.3,2.4,"1,143",54.5,2.7,2014
IOWA,Black alone,69,61,(B),(B),31,(B),(B),20,(B),(B),2014
IOWA,Asian alone,54,33,(B),(B),17,(B),(B),12,(B),(B),2014
IOWA,Hispanic (of any race),81,52,(B),(B),21,(B),(B),11,(B),(B),2014
IOWA,White alone or in combination,"2,197","2,169",70.6,2.4,"1,532",69.7,2.4,"1,167",53.1,2.6,2014
IOWA,Black alone or in combination,84,75,50.1,16.3,38,45,17.3,22,26.9,14.5,2014
IOWA,Asian alone or in combination,60,39,(B),(B),21,(B),(B),16,(B),(B),2014
KANSAS,Total,"2,125","1,993",67.9,2.6,"1,353",63.7,2.6,962,45.3,2.7,2014
KANSAS,Male,"1,037",956,66.4,3.8,635,61.2,3.9,453,43.7,3.9,2014
KANSAS,Female,"1,088","1,037",69.2,3.6,718,66,3.6,509,46.8,3.8,2014
KANSAS,White alone,"1,853","1,770",68.9,2.8,"1,220",65.8,2.8,873,47.1,2.9,2014
KANSAS,.White non-Hispanic alone,"1,673","1,671",70,2.8,"1,170",69.9,2.8,838,50.1,3.1,2014
KANSAS,Black alone,129,122,59.8,13.3,73,56.3,13.6,53,40.8,13.2,2014
KANSAS,Asian alone,76,45,(B),(B),30,(B),(B),22,(B),(B),2014
KANSAS,Hispanic (of any race),216,125,55.8,12.6,70,32.4,17.6,44,20.5,10.9,2014
KANSAS,White alone or in combination,"1,892","1,799",68.6,2.8,"1,234",65.3,2.8,879,46.5,2.9,2014
KANSAS,Black alone or in combination,139,131,56.8,12.9,75,53.7,13.2,54,39.2,12.7,2014
KANSAS,Asian alone or in combination,84,53,(B),(B),34,(B),(B),25,(B),(B),2014
KENTUCKY,Total,"3,323","3,207",71.6,2.4,"2,298",69.2,2.4,"1,525",45.9,2.6,2014
KENTUCKY,Male,"1,597","1,532",71.2,3.5,"1,091",68.3,3.5,754,47.2,3.8,2014
KENTUCKY,Female,"1,725","1,675",72.1,3.3,"1,207",70,3.3,770,44.6,3.6,2014
KENTUCKY,White alone,"2,943","2,870",71.8,2.6,"2,059",70,2.5,"1,367",46.4,2.8,2014
KENTUCKY,.White non-Hispanic alone,"2,842","2,821",72,2.6,"2,031",71.5,2.6,"1,349",47.5,2.8,2014
KENTUCKY,Black alone,271,263,70,10.4,184,67.7,10.4,117,43.2,11,2014
KENTUCKY,Asian alone,53,26,(B),(B),23,(B),(B),23,(B),(B),2014
KENTUCKY,Hispanic (of any race),113,55,(B),(B),34,(B),(B),23,(B),(B),2014
KENTUCKY,White alone or in combination,"2,985","2,912",71.7,2.5,"2,089",70,2.5,"1,382",46.3,2.8,2014
KENTUCKY,Black alone or in combination,295,286,69,10,198,66.9,10,123,41.6,10.5,2014
KENTUCKY,Asian alone or in combination,53,26,(B),(B),23,(B),(B),23,(B),(B),2014
LOUISIANA,Total,"3,450","3,342",71.7,2.3,"2,398",69.5,2.3,"1,677",48.6,2.5,2014
LOUISIANA,Male,"1,645","1,583",70,3.3,"1,108",67.3,3.3,768,46.7,3.6,2014
LOUISIANA,Female,"1,805","1,759",73.4,3.1,"1,290",71.5,3,908,50.3,3.4,2014
LOUISIANA,White alone,"2,250","2,170",73.5,2.8,"1,596",70.9,2.7,"1,094",48.6,3,2014
LOUISIANA,.White non-Hispanic alone,"2,094","2,080",74.2,2.8,"1,543",73.7,2.8,"1,065",50.8,3.2,2014
LOUISIANA,Black alone,"1,042","1,034",70.5,5,729,70,5,533,51.2,5.4,2014
LOUISIANA,Asian alone,82,62,(B),(B),24,(B),(B),13,(B),(B),2014
LOUISIANA,Hispanic (of any race),165,100,56.7,16.8,57,34.4,22.5,31,19,13.9,2014
LOUISIANA,White alone or in combination,"2,280","2,200",73.4,2.8,"1,616",70.9,2.7,"1,109",48.7,3,2014
LOUISIANA,Black alone or in combination,"1,072","1,063",70.7,4.9,752,70.2,4.9,552,51.5,5.3,2014
LOUISIANA,Asian alone or in combination,85,64,(B),(B),24,(B),(B),13,(B),(B),2014
MAINE,Total,"1,061","1,045",76.5,2.4,799,75.4,2.4,642,60.5,2.7,2014
MAINE,Male,512,503,74.2,3.6,373,73,3.6,302,59,4,2014
MAINE,Female,549,541,78.7,3.2,426,77.6,3.2,340,61.9,3.8,2014
MAINE,White alone,"1,009","1,002",76.9,2.4,771,76.4,2.4,616,61.1,2.8,2014
MAINE,.White non-Hispanic alone,999,992,77.3,2.4,766,76.7,2.4,613,61.4,2.8,2014
MAINE,Black alone,9,7,(B),(B),5,(B),(B),3,(B),(B),2014
MAINE,Asian alone,11,3,(B),(B),2,(B),(B),2,(B),(B),2014
MAINE,Hispanic (of any race),10,10,(B),(B),4,(B),(B),3,(B),(B),2014
MAINE,White alone or in combination,"1,036","1,029",76.7,2.4,790,76.2,2.4,635,61.3,2.8,2014
MAINE,Black alone or in combination,19,17,(B),(B),11,(B),(B),10,(B),(B),2014
MAINE,Asian alone or in combination,13,5,(B),(B),3,(B),(B),3,(B),(B),2014
MARYLAND,Total,"4,542","4,148",72.2,2.2,"2,995",65.9,2.1,"2,028",44.7,2.3,2014
MARYLAND,Male,"2,135","1,947",70.8,3.2,"1,378",64.6,3.2,938,43.9,3.3,2014
MARYLAND,Female,"2,407","2,201",73.5,2.9,"1,617",67.2,2.9,"1,090",45.3,3.1,2014
MARYLAND,White alone,"2,752","2,613",74.3,2.7,"1,941",70.5,2.6,"1,345",48.9,2.9,2014
MARYLAND,.White non-Hispanic alone,"2,508","2,480",74.9,2.7,"1,857",74.1,2.7,"1,300",51.8,3.1,2014
MARYLAND,Black alone,"1,325","1,208",70.8,4.9,856,64.6,4.8,581,43.8,5.1,2014
MARYLAND,Asian alone,343,231,58.4,10.2,135,39.4,12.5,69,20.2,8.4,2014
MARYLAND,Hispanic (of any race),332,189,63.6,12.7,120,36.1,16.9,58,17.5,10,2014
MARYLAND,White alone or in combination,"2,824","2,659",74.6,2.6,"1,983",70.2,2.6,"1,363",48.2,2.9,2014
MARYLAND,Black alone or in combination,"1,353","1,236",70.8,4.8,875,64.7,4.8,589,43.5,5,2014
MARYLAND,Asian alone or in combination,365,253,60.2,10,152,41.7,11.9,79,21.6,8.3,2014
MASSACHUSETTS,Total,"5,279","4,815",67.5,2,"3,250",61.6,2,"2,259",42.8,2,2014
MASSACHUSETTS,Male,"2,504","2,241",66.3,2.9,"1,485",59.3,3,"1,036",41.4,2.9,2014
MASSACHUSETTS,Female,"2,775","2,574",68.6,2.7,"1,765",63.6,2.7,"1,223",44.1,2.8,2014
MASSACHUSETTS,White alone,"4,441","4,205",70.9,2.1,"2,980",67.1,2.1,"2,117",47.7,2.2,2014
MASSACHUSETTS,.White non-Hispanic alone,"4,113","3,969",72.1,2.1,"2,860",69.5,2.1,"2,073",50.4,2.3,2014
MASSACHUSETTS,Black alone,408,310,45.4,8.5,141,34.6,10.2,80,19.6,7.1,2014
MASSACHUSETTS,Asian alone,325,214,39.8,9.2,85,26.2,12.6,37,11.5,6.7,2014
MASSACHUSETTS,Hispanic (of any race),462,312,49.7,10.3,155,33.6,13.3,53,11.5,7,2014
MASSACHUSETTS,White alone or in combination,"4,513","4,268",70.6,2.1,"3,013",66.8,2.1,"2,137",47.3,2.2,2014
MASSACHUSETTS,Black alone or in combination,454,348,46,8.1,160,35.3,9.7,87,19.2,6.7,2014
MASSACHUSETTS,Asian alone or in combination,345,234,40.1,9,94,27.2,12.1,46,13.3,6.9,2014
MICHIGAN,Total,"7,576","7,246",71.2,1.6,"5,159",68.1,1.6,"3,416",45.1,1.7,2014
MICHIGAN,Male,"3,615","3,456",69.4,2.4,"2,397",66.3,2.4,"1,551",42.9,2.5,2014
MICHIGAN,Female,"3,961","3,791",72.9,2.2,"2,762",69.7,2.2,"1,864",47.1,2.4,2014
MICHIGAN,White alone,"6,164","5,965",71.7,1.8,"4,280",69.4,1.8,"2,875",46.6,1.9,2014
MICHIGAN,.White non-Hispanic alone,"5,836","5,720",72.2,1.8,"4,128",70.7,1.8,"2,808",48.1,2,2014
MICHIGAN,Black alone,979,965,71,5.3,685,70,5.3,438,44.8,5.8,2014
MICHIGAN,Asian alone,277,177,48.9,10.6,86,31.2,14.3,51,18.4,8.9,2014
MICHIGAN,Hispanic (of any race),395,295,60.6,11.8,179,45.3,13.5,82,20.8,9.7,2014
MICHIGAN,White alone or in combination,"6,243","6,045",71.9,1.8,"4,344",69.6,1.7,"2,905",46.5,1.9,2014
MICHIGAN,Black alone or in combination,"1,026","1,012",70.6,5.2,714,69.6,5.2,455,44.4,5.7,2014
MICHIGAN,Asian alone or in combination,291,191,49,10.4,93,32.1,13.8,58,19.9,8.9,2014
