State,Group,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of error 1,Total registered,"Percent registered
(Total)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,Year
CALIFORNIA,Hispanic (of any race),"10,595","7,613",55.3,2.5,"4,211",39.7,3,"3,300",31.1,2.3,2018
CALIFORNIA,White alone or in combination,"22,303","19,010",63.8,1.1,"12,125",54.4,1.2,"10,332",46.3,1.1,2018
CALIFORNIA,Black alone or in combination,"2,094","1,999",57.7,4.4,"1,154",55.1,4.4,998,47.6,4.4,2018
CALIFORNIA,Asian alone or in combination,"5,571","4,320",52.7,2.8,"2,278",40.9,3.2,"1,795",32.2,2.6,2018
COLORADO,Total,"4,353","4,029",65.6,2.5,"2,645",60.8,2.5,"2,342",53.8,2.5,2018
COLORADO,Male,"2,171","2,004",65.6,3.5,"1,315",60.6,3.5,"1,144",52.7,3.6,2018
COLORADO,Female,"2,182","2,025",65.7,3.5,"1,330",61,3.5,"1,198",54.9,3.5,2018
COLORADO,White alone,"3,911","3,666",66.5,2.6,"2,439",62.4,2.6,"2,185",55.9,2.6,2018
COLORADO,White non-Hispanic alone,"3,136","3,107",68.9,2.8,"2,141",68.3,2.8,"1,945",62,2.9,2018
COLORADO,Black alone,185,170,43.1,14.5,73,39.6,15.3,51,27.8,13.3,2018
COLORADO,Asian alone,156,93,80.6,16.8,75,47.7,17.3,66,42.3,16.6,2018
COLORADO,Hispanic (of any race),806,590,54.8,9,323,40.1,10.7,259,32.1,8.6,2018
COLORADO,White alone or in combination,"3,998","3,753",66.2,2.6,"2,486",62.2,2.6,"2,213",55.4,2.6,2018
COLORADO,Black alone or in combination,219,204,43.3,13.3,88,40.3,14,63,28.8,12.3,2018
COLORADO,Asian alone or in combination,185,121,73.8,15.5,89,48.3,16.8,73,39.2,15.1,2018
CONNECTICUT,Total,"2,834","2,539",68,2.6,"1,726",60.9,2.7,"1,370",48.3,2.7,2018
CONNECTICUT,Male,"1,365","1,222",65.8,3.8,804,58.9,3.9,662,48.5,3.9,2018
CONNECTICUT,Female,"1,469","1,316",70,3.6,921,62.7,3.6,708,48.2,3.8,2018
CONNECTICUT,White alone,"2,326","2,141",69.3,2.9,"1,483",63.8,2.9,"1,193",51.3,3,2018
CONNECTICUT,White non-Hispanic alone,"1,934","1,888",71.3,3,"1,347",69.7,3,"1,090",56.4,3.3,2018
CONNECTICUT,Black alone,319,258,61.3,9.8,158,49.6,10.6,124,39,9.5,2018
CONNECTICUT,Asian alone,142,100,51.4,14.7,51,36.1,18.2,38,26.5,13.5,2018
CONNECTICUT,Hispanic (of any race),464,293,55.9,10.1,164,35.3,13.2,120,25.9,9.2,2018
CONNECTICUT,White alone or in combination,"2,356","2,171",69.4,2.9,"1,506",63.9,2.9,"1,201",51,3,2018
CONNECTICUT,Black alone or in combination,335,274,63.5,9.5,174,51.9,10.2,132,39.5,9.3,2018
CONNECTICUT,Asian alone or in combination,154,112,52.9,14.3,59,38.4,17.2,38,24.5,12.7,2018
DELAWARE,Total,756,713,66.3,2.6,472,62.4,2.6,369,48.8,2.7,2018
DELAWARE,Male,359,334,64.3,3.8,215,59.8,3.9,167,46.4,3.9,2018
DELAWARE,Female,397,379,68,3.5,258,64.8,3.5,202,50.9,3.7,2018
DELAWARE,White alone,540,513,66.2,3.1,340,62.9,3.1,264,48.8,3.2,2018
DELAWARE,White non-Hispanic alone,477,468,67.6,3.2,316,66.3,3.2,247,51.7,3.4,2018
DELAWARE,Black alone,163,159,68.2,6.6,109,66.5,6.6,90,54.8,7,2018
DELAWARE,Asian alone,41,28,B,B,15,B,B,11,B,B,2018
DELAWARE,Hispanic (of any race),73,52,B,B,27,B,B,20,B,B,2018
DELAWARE,White alone or in combination,548,521,66.5,3,346,63.2,3.1,266,48.6,3.2,2018
DELAWARE,Black alone or in combination,173,168,68.9,6.4,116,67.3,6.4,93,53.8,6.8,2018
DELAWARE,Asian alone or in combination,43,31,B,B,15,B,B,11,B,B,2018
DISTRICT OF COLUMBIA,Total,567,512,77.6,2.5,397,70,2.4,313,55.2,2.7,2018
DISTRICT OF COLUMBIA,Male,264,235,76.3,3.7,179,68.1,3.6,141,53.3,4,2018
DISTRICT OF COLUMBIA,Female,304,277,78.6,3.4,218,71.7,3.2,172,56.7,3.7,2018
DISTRICT OF COLUMBIA,White alone,270,247,83.5,3.4,207,76.5,3.1,168,62.1,3.9,2018
DISTRICT OF COLUMBIA,White non-Hispanic alone,235,223,85.8,3.3,191,81.3,3.1,155,65.9,4,2018
DISTRICT OF COLUMBIA,Black alone,251,228,71.7,4.8,163,65.2,4.7,123,48.9,5,2018
DISTRICT OF COLUMBIA,Asian alone,30,22,B,B,16,B,B,13,B,B,2018
DISTRICT OF COLUMBIA,Hispanic (of any race),53,35,B,B,24,B,B,20,B,B,2018
DISTRICT OF COLUMBIA,White alone or in combination,281,257,83.4,3.3,214,76.3,3,174,62,3.8,2018
DISTRICT OF COLUMBIA,Black alone or in combination,258,234,72.1,4.7,169,65.5,4.6,128,49.5,4.9,2018
DISTRICT OF COLUMBIA,Asian alone or in combination,33,25,B,B,17,B,B,14,B,B,2018
FLORIDA,Total,"16,845","15,047",62.7,1.2,"9,435",56,1.3,"7,918",47,1.3,2018
FLORIDA,Male,"8,035","7,145",61.4,1.8,"4,383",54.6,1.9,"3,648",45.4,1.8,2018
FLORIDA,Female,"8,810","7,902",63.9,1.7,"5,052",57.3,1.8,"4,270",48.5,1.7,2018
FLORIDA,White alone,"13,425","12,154",64.2,1.4,"7,798",58.1,1.4,"6,579",49,1.4,2018
FLORIDA,White non-Hispanic alone,"9,592","9,332",66.6,1.6,"6,211",64.8,1.6,"5,315",55.4,1.7,2018
FLORIDA,Black alone,"2,644","2,317",57.9,3.8,"1,340",50.7,4,"1,094",41.4,3.8,2018
FLORIDA,Asian alone,454,330,48.2,9.2,159,35,11.3,134,29.4,8.8,2018
FLORIDA,Hispanic (of any race),"4,288","3,146",54.8,3.8,"1,723",40.2,4.5,"1,393",32.5,3.7,2018
FLORIDA,White alone or in combination,"13,676","12,353",63.9,1.4,"7,899",57.8,1.4,"6,666",48.7,1.4,2018
FLORIDA,Black alone or in combination,"2,842","2,463",57.6,3.7,"1,418",49.9,3.9,"1,167",41.1,3.6,2018
FLORIDA,Asian alone or in combination,458,334,47.7,9.2,159,34.8,11.3,134,29.2,8.7,2018
GEORGIA,Total,"7,850","7,311",66.2,1.8,"4,840",61.7,1.8,"4,084",52,1.9,2018
GEORGIA,Male,"3,700","3,417",64,2.7,"2,189",59.2,2.7,"1,814",49,2.7,2018
GEORGIA,Female,"4,150","3,893",68.1,2.5,"2,651",63.9,2.5,"2,270",54.7,2.6,2018
GEORGIA,White alone,"4,949","4,686",66,2.3,"3,093",62.5,2.3,"2,581",52.2,2.4,2018
GEORGIA,White non-Hispanic alone,"4,491","4,454",66.8,2.3,"2,973",66.2,2.3,"2,496",55.6,2.5,2018
GEORGIA,Black alone,"2,439","2,305",68.4,3.9,"1,577",64.7,3.9,"1,374",56.3,4,2018
GEORGIA,Asian alone,318,191,56.4,11.1,108,33.9,15,84,26.3,10.3,2018
GEORGIA,Hispanic (of any race),525,264,51.2,9.9,135,25.7,16,101,19.2,9,2018
GEORGIA,White alone or in combination,"5,043","4,780",65.6,2.3,"3,135",62.2,2.3,"2,609",51.7,2.3,2018
GEORGIA,Black alone or in combination,"2,495","2,361",67.8,3.9,"1,600",64.1,3.9,"1,382",55.4,4,2018
GEORGIA,Asian alone or in combination,327,200,53.9,10.9,108,33,14.8,84,25.6,10.1,2018
HAWAII,Total,"1,057",971,53.9,2.7,523,49.5,2.8,427,40.4,2.7,2018
HAWAII,Male,504,462,51.2,3.9,237,46.9,4.1,193,38.3,3.8,2018
HAWAII,Female,553,509,56.4,3.8,287,51.9,3.9,234,42.4,3.7,2018
HAWAII,White alone,237,231,59.3,5.7,137,57.9,5.7,111,46.8,5.7,2018
HAWAII,White non-Hispanic alone,211,206,60.7,6,125,59.3,6,104,49.3,6.1,2018
HAWAII,Black alone,22,21,B,B,10,B,B,4,B,B,2018
HAWAII,Asian alone,480,417,52.2,5.1,218,45.4,5.5,186,38.7,5,2018
HAWAII,Hispanic (of any race),82,79,42.9,15.1,34,41.3,15.4,25,29.7,14,2018
HAWAII,White alone or in combination,351,346,61,4.6,211,60,4.6,171,48.6,4.7,2018
HAWAII,Black alone or in combination,28,27,B,B,15,B,B,8,B,B,2018
HAWAII,Asian alone or in combination,590,527,54,4.6,285,48.2,4.8,241,40.9,4.5,2018
IDAHO,Total,"1,299","1,226",60.6,2.7,743,57.2,2.7,587,45.2,2.7,2018
IDAHO,Male,645,608,59.5,3.8,362,56.1,3.9,286,44.3,3.8,2018
IDAHO,Female,654,618,61.6,3.8,381,58.2,3.8,301,46,3.8,2018
IDAHO,White alone,"1,214","1,163",60.9,2.8,708,58.3,2.8,555,45.7,2.8,2018
IDAHO,White non-Hispanic alone,"1,048","1,044",63.6,2.9,664,63.3,2.9,531,50.6,3,2018
IDAHO,Black alone,8,8,B,B,8,B,B,6,B,B,2018
IDAHO,Asian alone,33,22,B,B,9,B,B,8,B,B,2018
IDAHO,Hispanic (of any race),182,126,40,10.1,51,27.7,13.3,30,16.5,8.4,2018
IDAHO,White alone or in combination,"1,232","1,178",60.7,2.7,715,58,2.8,562,45.6,2.8,2018
IDAHO,Black alone or in combination,12,12,B,B,11,B,B,9,B,B,2018
IDAHO,Asian alone or in combination,33,22,B,B,9,B,B,8,B,B,2018
ILLINOIS,Total,"9,732","8,947",67.8,1.6,"6,068",62.4,1.6,"4,740",48.7,1.7,2018
ILLINOIS,Male,"4,711","4,316",64.7,2.4,"2,794",59.3,2.4,"2,183",46.3,2.4,2018
ILLINOIS,Female,"5,021","4,630",70.7,2.2,"3,274",65.2,2.2,"2,557",50.9,2.3,2018
ILLINOIS,White alone,"7,564","7,078",69.1,1.8,"4,892",64.7,1.8,"3,802",50.3,1.9,2018
ILLINOIS,White non-Hispanic alone,"6,248","6,120",72.5,1.9,"4,436",71,1.9,"3,494",55.9,2.1,2018
ILLINOIS,Black alone,"1,334","1,274",67.6,5.3,861,64.5,5.3,723,54.2,5.5,2018
ILLINOIS,Asian alone,673,455,45.1,7.4,205,30.5,9.8,150,22.4,6.7,2018
ILLINOIS,Hispanic (of any race),"1,458","1,061",50.6,6.6,537,36.8,8,354,24.3,5.8,2018
ILLINOIS,White alone or in combination,"7,666","7,180",69.3,1.8,"4,973",64.9,1.8,"3,857",50.3,1.9,2018
ILLINOIS,Black alone or in combination,"1,382","1,322",67.7,5.2,895,64.7,5.2,740,53.5,5.4,2018
ILLINOIS,Asian alone or in combination,688,470,45.6,7.4,214,31.2,9.6,160,23.2,6.7,2018
INDIANA,Total,"5,006","4,792",65.3,2.2,"3,131",62.5,2.3,"2,364",47.2,2.3,2018
INDIANA,Male,"2,404","2,331",65.3,3.2,"1,522",63.3,3.2,"1,115",46.4,3.3,2018
INDIANA,Female,"2,602","2,461",65.4,3.1,"1,609",61.8,3.1,"1,249",48,3.2,2018
INDIANA,White alone,"4,260","4,125",66,2.4,"2,723",63.9,2.4,"2,066",48.5,2.5,2018
INDIANA,White non-Hispanic alone,"3,937","3,921",67.2,2.5,"2,634",66.9,2.5,"1,996",50.7,2.6,2018
INDIANA,Black alone,484,468,63.9,8.8,299,61.8,8.8,221,45.7,9,2018
INDIANA,Asian alone,138,98,40.5,16,40,28.9,20.5,27,19.7,14.1,2018
INDIANA,Hispanic (of any race),337,212,45.2,12.7,96,28.4,17.7,77,22.9,11.8,2018
INDIANA,White alone or in combination,"4,342","4,197",66.1,2.4,"2,775",63.9,2.4,"2,099",48.3,2.5,2018
INDIANA,Black alone or in combination,544,518,63.5,8.3,329,60.4,8.4,245,45,8.5,2018
INDIANA,Asian alone or in combination,147,108,45.7,16.1,49,33.5,19.9,34,22.8,14.3,2018
IOWA,Total,"2,376","2,239",74,2.6,"1,658",69.8,2.5,"1,335",56.2,2.8,2018
IOWA,Male,"1,176","1,105",75.4,3.6,833,70.8,3.5,660,56.1,3.9,2018
IOWA,Female,"1,201","1,134",72.7,3.6,825,68.7,3.6,675,56.2,3.9,2018
IOWA,White alone,"2,192","2,119",74.5,2.6,"1,580",72.1,2.6,"1,270",57.9,2.9,2018
IOWA,White non-Hispanic alone,"2,007","1,983",75.6,2.6,"1,499",74.7,2.6,"1,206",60.1,3,2018
IOWA,Black alone,89,76,61.3,17.4,47,52.6,18.3,41,46.4,17.4,2018
IOWA,Asian alone,62,22,B,B,14,B,B,12,B,B,2018
IOWA,Hispanic (of any race),206,148,57.8,14.7,85,41.5,17.4,69,33.5,14.1,2018
IOWA,White alone or in combination,"2,218","2,133",74.6,2.6,"1,591",71.8,2.6,"1,279",57.7,2.8,2018
IOWA,Black alone or in combination,100,80,60.6,16.5,49,48.9,17.9,41,41.4,16.2,2018
IOWA,Asian alone or in combination,72,26,B,B,19,B,B,16,B,B,2018
KANSAS,Total,"2,149","2,026",71.5,2.8,"1,449",67.4,2.8,"1,152",53.6,3,2018
KANSAS,Male,"1,049",980,70.6,4.1,692,66,4,554,52.8,4.3,2018
KANSAS,Female,"1,100","1,046",72.4,3.9,757,68.8,3.8,598,54.4,4.2,2018
KANSAS,White alone,"1,880","1,777",73.8,2.9,"1,311",69.7,2.9,"1,028",54.7,3.2,2018
KANSAS,White non-Hispanic alone,"1,667","1,662",75.2,2.9,"1,249",74.9,2.9,982,58.9,3.3,2018
KANSAS,Black alone,129,125,51.9,14.7,65,50.1,15,58,44.9,14.7,2018
KANSAS,Asian alone,59,46,B,B,33,B,B,33,B,B,2018
KANSAS,Hispanic (of any race),231,134,53.3,13.2,71,30.8,18.8,55,23.9,12.2,2018
KANSAS,White alone or in combination,"1,934","1,831",73.1,2.9,"1,338",69.2,2.9,"1,050",54.3,3.1,2018
KANSAS,Black alone or in combination,136,131,50.6,14.4,66,48.9,14.6,60,43.9,14.3,2018
KANSAS,Asian alone or in combination,64,51,B,B,36,B,B,36,B,B,2018
KENTUCKY,Total,"3,370","3,249",73.5,2.6,"2,389",70.9,2.6,"1,746",51.8,2.9,2018
KENTUCKY,Male,"1,627","1,553",70.3,3.9,"1,092",67.1,3.8,789,48.5,4.1,2018
KENTUCKY,Female,"1,743","1,696",76.5,3.5,"1,297",74.5,3.4,958,55,3.9,2018
KENTUCKY,White alone,"3,014","2,954",74.3,2.7,"2,194",72.8,2.7,"1,587",52.7,3,2018
KENTUCKY,White non-Hispanic alone,"2,928","2,921",74.7,2.7,"2,183",74.5,2.7,"1,579",53.9,3.1,2018
KENTUCKY,Black alone,248,233,70.7,12,164,66.2,12,131,52.8,12.7,2018
KENTUCKY,Asian alone,82,37,B,17.5,14,17.4,B,12,14.1,16,2018
KENTUCKY,Hispanic (of any race),96,37,B,19.4,15,15.8,B,12,12.9,17.8,2018
KENTUCKY,White alone or in combination,"3,036","2,976",74.2,2.7,"2,207",72.7,2.7,"1,600",52.7,3,2018
KENTUCKY,Black alone or in combination,264,248,68.9,11.8,171,64.8,11.8,138,52.2,12.3,2018
KENTUCKY,Asian alone or in combination,82,37,B,17.5,14,17.4,B,12,14.1,16,2018
LOUISIANA,Total,"3,458","3,326",68,2.6,"2,263",65.4,2.6,"1,656",47.9,2.7,2018
LOUISIANA,Male,"1,635","1,557",66.3,3.8,"1,032",63.1,3.8,774,47.3,3.9,2018
LOUISIANA,Female,"1,823","1,770",69.5,3.5,"1,231",67.5,3.5,882,48.4,3.7,2018
LOUISIANA,White alone,"2,212","2,120",70.8,3.1,"1,501",67.9,3.1,"1,075",48.6,3.4,2018
LOUISIANA,White non-Hispanic alone,"2,047","2,023",71.9,3.2,"1,455",71.1,3.2,"1,046",51.1,3.5,2018
LOUISIANA,Black alone,"1,076","1,072",64.1,5.6,688,63.9,5.6,531,49.4,5.8,2018
LOUISIANA,Asian alone,60,34,B,B,17,B,B,9,B,B,2018
LOUISIANA,Hispanic (of any race),189,112,50.2,16.5,56,29.7,23.5,35,18.4,14,2018
LOUISIANA,White alone or in combination,"2,289","2,188",70.5,3.1,"1,543",67.4,3.1,"1,106",48.3,3.3,2018
LOUISIANA,Black alone or in combination,"1,133","1,125",63.4,5.5,712,62.9,5.5,552,48.7,5.7,2018
LOUISIANA,Asian alone or in combination,70,42,B,B,23,B,B,12,B,B,2018
MAINE,Total,"1,074","1,056",78.4,2.6,828,77.1,2.5,693,64.5,2.9,2018
MAINE,Male,527,519,76.6,3.7,397,75.4,3.7,329,62.4,4.2,2018
MAINE,Female,546,537,80.1,3.5,431,78.8,3.4,364,66.6,4,2018
MAINE,White alone,"1,011","1,002",79.4,2.6,796,78.7,2.5,669,66.2,3,2018
MAINE,White non-Hispanic alone,"1,001",994,79.2,2.6,788,78.7,2.6,666,66.5,3,2018
MAINE,Black alone,17,11,B,B,5,B,B,3,B,B,2018
MAINE,Asian alone,20,17,B,B,6,B,B,6,B,B,2018
MAINE,Hispanic (of any race),11,10,B,B,8,B,B,3,B,B,2018
MAINE,White alone or in combination,"1,032","1,023",79.6,2.5,815,79,2.5,682,66.1,2.9,2018
MAINE,Black alone or in combination,20,14,B,B,7,B,B,5,B,B,2018
MAINE,Asian alone or in combination,20,17,B,B,6,B,B,6,B,B,2018
MARYLAND,Total,"4,666","4,281",72.3,2.3,"3,095",66.3,2.3,"2,320",49.7,2.5,2018
MARYLAND,Male,"2,217","2,047",71.2,3.4,"1,457",65.7,3.4,"1,107",49.9,3.6,2018
MARYLAND,Female,"2,449","2,235",73.3,3.2,"1,639",66.9,3.1,"1,213",49.5,3.4,2018
MARYLAND,White alone,"2,800","2,635",76.7,2.8,"2,021",72.2,2.8,"1,536",54.9,3.2,2018
MARYLAND,White non-Hispanic alone,"2,466","2,421",77.2,2.9,"1,869",75.8,2.9,"1,414",57.3,3.3,2018
MARYLAND,Black alone,"1,414","1,293",66.2,5.3,856,60.5,5.3,630,44.5,5.4,2018
MARYLAND,Asian alone,315,217,65.1,11.9,142,44.9,13.7,94,29.9,10.9,2018
MARYLAND,Hispanic (of any race),500,328,59.5,11.5,195,39,14.3,158,31.7,11,2018
MARYLAND,White alone or in combination,"2,874","2,708",76.2,2.8,"2,064",71.8,2.7,"1,572",54.7,3.1,2018
MARYLAND,Black alone or in combination,"1,467","1,346",65.9,5.2,887,60.5,5.2,651,44.4,5.3,2018
MARYLAND,Asian alone or in combination,331,234,66.1,11.6,154,46.6,13.1,103,31.2,10.8,2018
MASSACHUSETTS,Total,"5,460","4,919",68,2.2,"3,345",61.3,2.2,"2,731",50,2.2,2018
MASSACHUSETTS,Male,"2,594","2,335",66.6,3.1,"1,556",60,3.2,"1,280",49.4,3.2,2018
MASSACHUSETTS,Female,"2,866","2,583",69.3,3,"1,789",62.4,3,"1,451",50.6,3.1,2018
MASSACHUSETTS,White alone,"4,417","4,156",70.6,2.3,"2,934",66.4,2.3,"2,397",54.3,2.5,2018
MASSACHUSETTS,White non-Hispanic alone,"4,006","3,858",70.9,2.4,"2,737",68.3,2.4,"2,266",56.6,2.6,2018
MASSACHUSETTS,Black alone,454,413,58,9.3,240,52.8,9.6,194,42.7,9.2,2018
MASSACHUSETTS,Asian alone,416,234,48.2,9,113,27,13.5,101,24.2,8.7,2018
MASSACHUSETTS,Hispanic (of any race),565,414,60.2,10.7,249,44.1,12.4,177,31.3,10,2018
MASSACHUSETTS,White alone or in combination,"4,584","4,266",70.2,2.3,"2,993",65.3,2.3,"2,437",53.2,2.4,2018
MASSACHUSETTS,Black alone or in combination,561,464,55.6,8.3,258,46,9.1,203,36.2,8,2018
MASSACHUSETTS,Asian alone or in combination,467,284,50.8,8.8,144,30.9,12.3,125,26.9,8.5,2018
MICHIGAN,Total,"7,657","7,430",73.4,1.7,"5,453",71.2,1.7,"4,418",57.7,1.9,2018
MICHIGAN,Male,"3,688","3,564",71.9,2.5,"2,563",69.5,2.5,"2,072",56.2,2.7,2018
MICHIGAN,Female,"3,970","3,866",74.8,2.3,"2,890",72.8,2.3,"2,346",59.1,2.6,2018
MICHIGAN,White alone,"6,257","6,171",74.9,1.8,"4,620",73.8,1.8,"3,724",59.5,2,2018
MICHIGAN,White non-Hispanic alone,"6,033","5,973",75.8,1.8,"4,526",75,1.8,"3,648",60.5,2.1,2018
MICHIGAN,Black alone,"1,027","1,003",66.8,5.9,670,65.2,5.9,557,54.2,6.2,2018
MICHIGAN,Asian alone,242,134,67.9,13,91,37.5,16.8,72,29.9,12.3,2018
MICHIGAN,Hispanic (of any race),241,203,48.9,16.4,99,41.1,18.2,81,33.8,15.8,2018
MICHIGAN,White alone or in combination,"6,335","6,243",74.8,1.8,"4,671",73.7,1.8,"3,770",59.5,2,2018
MICHIGAN,Black alone or in combination,"1,078","1,048",65.8,5.8,690,63.9,5.9,571,53,6.1,2018
MICHIGAN,Asian alone or in combination,265,157,72.7,12.7,114,43,14.8,96,36.1,12.3,2018
MINNESOTA,Total,"4,238","4,006",74.9,2.3,"3,000",70.8,2.3,"2,523",59.5,2.5,2018
MINNESOTA,Male,"2,099","1,969",72.6,3.4,"1,429",68.1,3.3,"1,194",56.9,3.6,2018
MINNESOTA,Female,"2,139","2,037",77.1,3.2,"1,570",73.4,3.1,"1,329",62.1,3.5,2018
