State,Group,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of Error1,Total registered,"Percent registered
(Total)",Margin of Error1,Total voted,"Percent voted
(Total)",Margin of Error1,Year
Arizona,White non-Hispanic alone,"3,019","2,984",68.7,2.6,"2,050",67.9,2.5,"1,565",51.9,2.7,2010
Arizona,Black alone,193,186,65.5,12.6,122,63.1,12.7,76,39.4,12.8,2010
Arizona,Asian alone,97,79,78.7,18.5,62,64.2,17.5,49,50.2,19.3,2010
Arizona,Hispanic (of any race),"1,389","1,061",57.5,6.3,610,43.9,7.2,407,29.3,5.8,2010
Arizona,White alone or in combination,"4,369","4,007",66.2,2.2,"2,652",60.7,2.2,"1,966",45,2.3,2010
Arizona,Black alone or in combination,202,195,65,12.3,127,62.7,12.4,76,37.7,12.4,2010
Arizona,Asian alone or in combination,103,85,73,18.3,62,60.4,18.2,49,47.2,18.7,2010
Arkansas,Total,"2,140","2,068",60.7,2.5,"1,256",58.7,2.5,841,39.3,2.5,2010
Arkansas,Male,"1,021",979,58.1,3.7,569,55.8,3.7,382,37.4,3.6,2010
Arkansas,Female,"1,120","1,089",63.1,3.4,687,61.4,3.4,459,41,3.5,2010
Arkansas,White alone,"1,740","1,701",61.7,2.8,"1,050",60.4,2.8,713,41,2.8,2010
Arkansas,White non-Hispanic alone,"1,659","1,655",62.7,2.8,"1,038",62.6,2.8,705,42.5,2.9,2010
Arkansas,Black alone,310,310,54.3,8.1,168,54.3,8.1,100,32.5,7.6,2010
Arkansas,Asian alone,48,15,(B),(B),7,(B),(B),3,(B),(B),2010
Arkansas,Hispanic (of any race),83,48,29.7,15.3,14,17.1,24.4,10,11.8,13.1,2010
Arkansas,White alone or in combination,"1,758","1,719",62.1,2.7,"1,068",60.8,2.8,727,41.4,2.8,2010
Arkansas,Black alone or in combination,313,313,54.8,8,172,54.8,8,102,32.5,7.6,2010
Arkansas,Asian alone or in combination,51,18,(B),(B),10,(B),(B),6,(B),(B),2010
California,Total,"27,381","22,767",60.9,0.9,"13,864",50.6,1,"10,725",39.2,0.9,2010
California,Male,"13,470","11,111",60.3,1.3,"6,705",49.8,1.4,"5,160",38.3,1.3,2010
California,Female,"13,910","11,656",61.4,1.3,"7,160",51.5,1.4,"5,565",40,1.3,2010
California,White alone,"20,828","17,331",63.6,1,"11,016",52.9,1.1,"8,666",41.6,1,2010
California,White non-Hispanic alone,"12,418","11,985",68.4,1.3,"8,197",66,1.3,"6,713",54.1,1.3,2010
California,Black alone,"1,728","1,661",56.1,4.4,932,54,4.4,708,41,4.3,2010
California,Asian alone,"3,860","2,938",50.1,3,"1,472",38.1,3.5,"1,008",26.1,2.7,2010
California,Hispanic (of any race),"9,004","5,816",52,2.4,"3,025",33.6,3.1,"2,058",22.9,2.1,2010
California,White alone or in combination,"21,269","17,733",63.6,1,"11,271",53,1.1,"8,881",41.8,1,2010
California,Black alone or in combination,"1,887","1,821",56.5,4.2,"1,028",54.5,4.2,779,41.3,4.1,2010
California,Asian alone or in combination,"4,020","3,096",51.5,2.9,"1,594",39.7,3.4,"1,092",27.2,2.7,2010
Colorado,Total,"3,768","3,473",66.2,2.4,"2,299",61,2.4,"1,826",48.4,2.5,2010
Colorado,Male,"1,865","1,711",64.5,3.4,"1,104",59.2,3.5,871,46.7,3.5,2010
Colorado,Female,"1,903","1,762",67.9,3.3,"1,196",62.8,3.4,955,50.2,3.5,2010
Colorado,White alone,"3,423","3,195",67,2.5,"2,142",62.6,2.5,"1,714",50.1,2.6,2010
Colorado,White non-Hispanic alone,"2,825","2,768",70,2.6,"1,938",68.6,2.6,"1,577",55.8,2.8,2010
Colorado,Black alone,148,129,63.8,14.9,82,55.6,15.4,60,40.6,14.7,2010
Colorado,Asian alone,112,70,46.6,16.4,32,29.1,22.8,21,19.2,14.2,2010
Colorado,Hispanic (of any race),629,455,47.1,8.9,214,34,11.1,144,22.9,7.9,2010
Colorado,White alone or in combination,"3,465","3,235",66.8,2.5,"2,160",62.4,2.5,"1,728",49.9,2.6,2010
Colorado,Black alone or in combination,155,136,62.2,14.6,84,54.6,15.2,60,38.9,14.3,2010
Colorado,Asian alone or in combination,129,85,46.4,15.5,40,30.6,20.6,26,20.4,13.5,2010
Connecticut,Total,"2,648","2,463",66.6,2.5,"1,641",62,2.6,"1,215",45.9,2.6,2010
Connecticut,Male,"1,274","1,171",65.5,3.7,767,60.2,3.7,577,45.3,3.7,2010
Connecticut,Female,"1,374","1,292",67.7,3.5,874,63.6,3.5,638,46.5,3.6,2010
Connecticut,White alone,"2,273","2,181",67.6,2.7,"1,473",64.8,2.7,"1,096",48.2,2.8,2010
Connecticut,White non-Hispanic alone,"2,073","2,016",68.7,2.8,"1,386",66.9,2.8,"1,052",50.7,3,2010
Connecticut,Black alone,247,209,63.1,10.3,132,53.4,10.9,93,37.7,10,2010
Connecticut,Asian alone,102,49,57.9,15.2,29,28.1,23.9,22,22,14,2010
Connecticut,Hispanic (of any race),243,197,56.3,13.5,111,45.6,14.9,56,22.9,11.4,2010
Connecticut,White alone or in combination,"2,290","2,196",67.2,2.7,"1,476",64.5,2.7,"1,096",47.9,2.8,2010
Connecticut,Black alone or in combination,263,224,61.7,10,138,52.5,10.6,97,36.7,9.7,2010
Connecticut,Asian alone or in combination,104,52,55.5,14.9,29,27.6,23.5,22,21.5,13.7,2010
Delaware,Total,667,634,65.9,2.5,418,62.6,2.5,323,48.5,2.6,2010
Delaware,Male,318,300,63.3,3.7,190,59.6,3.8,147,46.1,3.8,2010
Delaware,Female,349,334,68.2,3.4,228,65.3,3.4,177,50.6,3.6,2010
Delaware,White alone,513,489,67.5,2.9,330,64.4,2.9,252,49.2,3,2010
Delaware,White non-Hispanic alone,479,475,68.3,2.9,324,67.7,2.9,249,52,3.1,2010
Delaware,Black alone,134,130,60.6,7,79,58.5,7,64,47.9,7.1,2010
Delaware,Asian alone,11,7,(B),(B),4,(B),(B),4,(B),(B),2010
Delaware,Hispanic (of any race),40,19,(B),(B),9,(B),(B),6,(B),(B),2010
Delaware,White alone or in combination,517,493,67.3,2.8,332,64.1,2.9,253,48.9,3,2010
Delaware,Black alone or in combination,139,135,60.4,6.8,81,58.4,6.9,66,47.5,6.9,2010
Delaware,Asian alone or in combination,11,7,(B),(B),4,(B),(B),4,(B),(B),2010
DC,Total,489,441,66.9,2.7,295,60.3,2.7,200,40.8,2.7,2010
DC,Male,223,200,63.7,4,127,57,4.1,84,37.5,3.9,2010
DC,Female,266,241,69.5,3.6,168,63.1,3.6,116,43.6,3.7,2010
DC,White alone,220,189,70.9,4,134,60.7,4,86,38.8,4,2010
DC,White non-Hispanic alone,181,169,73.5,4.2,124,68.7,4.1,80,44.1,4.5,2010
DC,Black alone,244,234,62.5,4.6,146,59.8,4.6,103,42.3,4.6,2010
DC,Asian alone,14,12,(B),(B),9,(B),(B),6,(B),(B),2010
DC,Hispanic (of any race),45,23,(B),(B),12,(B),(B),8,(B),(B),2010
DC,White alone or in combination,223,192,71.3,3.9,137,61.2,3.9,88,39.5,4,2010
DC,Black alone or in combination,246,235,62.7,4.6,147,60,4.6,105,42.6,4.6,2010
DC,Asian alone or in combination,15,12,(B),(B),10,(B),(B),7,(B),(B),2010
Florida,Total,"14,227","12,697",63,1.2,"7,994",56.2,1.3,"5,572",39.2,1.2,2010
Florida,Male,"6,872","6,114",61.1,1.8,"3,735",54.4,1.8,"2,623",38.2,1.7,2010
Florida,Female,"7,355","6,582",64.7,1.7,"4,259",57.9,1.7,"2,949",40.1,1.7,2010
Florida,White alone,"11,665","10,553",63.8,1.4,"6,731",57.7,1.4,"4,740",40.6,1.3,2010
Florida,White non-Hispanic alone,"8,797","8,540",64.7,1.5,"5,529",62.8,1.5,"3,902",44.4,1.6,2010
Florida,Black alone,"2,046","1,748",61.4,4,"1,073",52.4,4.2,725,35.4,3.8,2010
Florida,Asian alone,390,275,46.7,8.9,128,32.9,11.3,68,17.4,7.2,2010
Florida,Hispanic (of any race),"2,962","2,100",59,4.2,"1,239",41.8,5,863,29.1,3.9,2010
Florida,White alone or in combination,"11,771","10,654",63.7,1.3,"6,789",57.7,1.4,"4,779",40.6,1.3,2010
Florida,Black alone or in combination,"2,097","1,798",60.5,3.9,"1,087",51.9,4.1,735,35,3.7,2010
Florida,Asian alone or in combination,416,296,45.6,8.6,135,32.5,10.8,74,17.9,7,2010
Georgia,Total,"7,119","6,574",62,1.7,"4,076",57.2,1.8,"2,865",40.2,1.7,2010
Georgia,Male,"3,404","3,121",61.8,2.5,"1,929",56.7,2.6,"1,338",39.3,2.5,2010
Georgia,Female,"3,715","3,453",62.2,2.4,"2,147",57.8,2.5,"1,527",41.1,2.4,2010
Georgia,White alone,"4,734","4,377",62.1,2.1,"2,717",57.4,2.2,"1,881",39.7,2.1,2010
Georgia,White non-Hispanic alone,"4,294","4,225",62.9,2.2,"2,657",61.9,2.2,"1,845",43,2.3,2010
Georgia,Black alone,"2,066","1,983",63.5,3.9,"1,260",61,3.9,929,45,3.9,2010
Georgia,Asian alone,254,157,32.4,9.4,51,20,14.1,23,9,6.7,2010
Georgia,Hispanic (of any race),519,194,39.7,7.3,77,14.9,16.4,46,8.9,5.9,2010
Georgia,White alone or in combination,"4,776","4,411",62.3,2.1,"2,748",57.5,2.2,"1,905",39.9,2.1,2010
Georgia,Black alone or in combination,"2,100","2,010",63.9,3.8,"1,284",61.1,3.9,950,45.2,3.9,2010
Georgia,Asian alone or in combination,262,165,33.3,9.5,55,20.9,13.8,23,8.7,6.6,2010
Hawaii,Total,965,892,52.3,2.5,466,48.3,2.6,385,39.9,2.5,2010
Hawaii,Male,471,442,51.1,3.6,226,48,3.7,182,38.7,3.5,2010
Hawaii,Female,494,449,53.4,3.5,240,48.5,3.7,203,41,3.5,2010
Hawaii,White alone,191,179,55.7,5.6,99,52.1,5.8,84,43.9,5.6,2010
Hawaii,White non-Hispanic alone,169,160,56.4,6,90,53.6,6.1,76,45.1,6,2010
Hawaii,Black alone,28,27,(B),(B),10,(B),(B),10,(B),(B),2010
Hawaii,Asian alone,432,394,56.6,4.7,223,51.6,4.9,192,44.5,4.7,2010
Hawaii,Hispanic (of any race),85,77,50.7,13.3,39,45.9,14,27,32.3,12.4,2010
Hawaii,White alone or in combination,337,325,50.8,4.2,165,48.9,4.3,136,40.2,4.2,2010
Hawaii,Black alone or in combination,39,37,(B),(B),14,(B),(B),11,(B),(B),2010
Hawaii,Asian alone or in combination,578,539,53.8,4.1,290,50.2,4.2,242,41.9,4,2010
Idaho,Total,"1,114","1,048",63.5,2.5,666,59.8,2.5,498,44.7,2.5,2010
Idaho,Male,546,513,63.3,3.5,325,59.5,3.6,235,43.1,3.5,2010
Idaho,Female,568,535,63.7,3.4,341,60,3.5,263,46.2,3.5,2010
Idaho,White alone,"1,051","1,001",64.4,2.5,645,61.4,2.5,483,46,2.6,2010
Idaho,White non-Hispanic alone,955,944,66.5,2.6,628,65.8,2.6,475,49.7,2.7,2010
Idaho,Black alone,8,8,(B),(B),4,(B),(B),4,(B),(B),2010
Idaho,Asian alone,19,5,(B),(B),-,(B),(B),-,(B),(B),2010
Idaho,Hispanic (of any race),100,61,27.8,9.8,17,16.9,15.1,9,8.9,7.5,2010
Idaho,White alone or in combination,"1,069","1,019",63.9,2.5,651,60.9,2.5,490,45.8,2.5,2010
Idaho,Black alone or in combination,9,9,(B),(B),4,(B),(B),4,(B),(B),2010
Idaho,Asian alone or in combination,23,9,(B),(B),2,(B),(B),2,(B),(B),2010
Illinois,Total,"9,619","8,780",66.3,1.5,"5,823",60.5,1.5,"3,994",41.5,1.5,2010
Illinois,Male,"4,661","4,202",63.6,2.2,"2,670",57.3,2.2,"1,872",40.2,2.2,2010
Illinois,Female,"4,958","4,578",68.8,2,"3,152",63.6,2.1,"2,122",42.8,2.1,2010
Illinois,White alone,"7,799","7,177",66.8,1.7,"4,794",61.5,1.7,"3,225",41.4,1.7,2010
Illinois,White non-Hispanic alone,"6,606","6,449",68.5,1.7,"4,415",66.8,1.7,"2,991",45.3,1.8,2010
Illinois,Black alone,"1,312","1,266",66.7,4.8,844,64.4,4.8,658,50.2,5,2010
Illinois,Asian alone,434,263,50,8.4,132,30.3,11.7,88,20.2,7.3,2010
Illinois,Hispanic (of any race),"1,220",749,51.9,6.3,388,31.8,8.6,241,19.8,5.4,2010
Illinois,White alone or in combination,"7,841","7,219",66.8,1.6,"4,822",61.5,1.7,"3,241",41.3,1.7,2010
Illinois,Black alone or in combination,"1,350","1,304",67,4.7,874,64.8,4.7,672,49.8,4.9,2010
Illinois,Asian alone or in combination,434,263,50,8.4,132,30.3,11.7,88,20.2,7.3,2010
Indiana,Total,"4,777","4,638",61.2,2.1,"2,838",59.4,2.1,"1,826",38.2,2.1,2010
Indiana,Male,"2,317","2,233",58.9,3.1,"1,315",56.7,3.1,892,38.5,3,2010
Indiana,Female,"2,459","2,405",63.3,2.9,"1,523",61.9,2.9,934,38,2.9,2010
Indiana,White alone,"4,300","4,193",60.7,2.2,"2,544",59.2,2.2,"1,646",38.3,2.2,2010
Indiana,White non-Hispanic alone,"4,114","4,095",61.4,2.3,"2,515",61.1,2.3,"1,632",39.7,2.3,2010
Indiana,Black alone,371,363,69.8,8.7,254,68.3,8.7,158,42.6,9.3,2010
Indiana,Asian alone,35,12,(B),(B),-,(B),(B),-,(B),(B),2010
Indiana,Hispanic (of any race),195,102,32.4,12.6,33,17,21.7,19,9.8,10,2010
Indiana,White alone or in combination,"4,347","4,240",60.7,2.2,"2,572",59.2,2.2,"1,663",38.3,2.2,2010
Indiana,Black alone or in combination,418,409,68.7,8.3,281,67.4,8.3,175,42,8.7,2010
Indiana,Asian alone or in combination,40,16,(B),(B),-,(B),(B),-,(B),(B),2010
Iowa,Total,"2,278","2,185",70.8,2.5,"1,547",67.9,2.4,"1,143",50.2,2.6,2010
Iowa,Male,"1,114","1,064",68.6,3.6,729,65.5,3.6,544,48.8,3.8,2010
Iowa,Female,"1,164","1,121",72.9,3.4,818,70.2,3.3,599,51.5,3.7,2010
Iowa,White alone,"2,161","2,086",71.6,2.5,"1,494",69.1,2.5,"1,106",51.2,2.7,2010
Iowa,White non-Hispanic alone,"2,068","2,051",72.1,2.5,"1,479",71.5,2.5,"1,096",53,2.8,2010
Iowa,Black alone,57,51,(B),(B),29,(B),(B),17,(B),(B),2010
Iowa,Asian alone,21,9,(B),(B),4,(B),(B),3,(B),(B),2010
Iowa,Hispanic (of any race),96,38,39.2,14.6,15,15.4,31.5,10,10.1,12.1,2010
Iowa,White alone or in combination,"2,187","2,112",71.5,2.5,"1,510",69.1,2.5,"1,118",51.1,2.7,2010
Iowa,Black alone or in combination,64,58,(B),(B),33,(B),(B),21,(B),(B),2010
Iowa,Asian alone or in combination,21,9,(B),(B),4,(B),(B),3,(B),(B),2010
Kansas,Total,"2,059","1,971",68.4,2.5,"1,349",65.5,2.5,931,45.2,2.7,2010
Kansas,Male,"1,022",975,67.5,3.6,658,64.4,3.6,457,44.8,3.8,2010
Kansas,Female,"1,038",996,69.4,3.5,691,66.6,3.5,474,45.7,3.7,2010
Kansas,White alone,"1,831","1,767",70.4,2.6,"1,245",68,2.6,863,47.1,2.8,2010
Kansas,White non-Hispanic alone,"1,719","1,706",70.5,2.7,"1,203",70,2.7,843,49,2.9,2010
Kansas,Black alone,113,105,49.3,13.7,52,45.9,14.3,34,30.1,12.6,2010
Kansas,Asian alone,47,32,(B),(B),15,(B),(B),11,(B),(B),2010
Kansas,Hispanic (of any race),125,68,67.1,16.4,45,36.5,21.7,20,16.3,12.6,2010
Kansas,White alone or in combination,"1,888","1,823",69.9,2.6,"1,274",67.4,2.6,882,46.7,2.8,2010
Kansas,Black alone or in combination,115,107,48.5,13.6,52,45.2,14.1,34,29.6,12.5,2010
Kansas,Asian alone or in combination,65,50,(B),(B),28,(B),(B),19,(B),(B),2010
Kentucky,Total,"3,250","3,158",66.9,2.5,"2,113",65,2.5,"1,479",45.5,2.6,2010
Kentucky,Male,"1,552","1,505",63.5,3.7,956,61.6,3.7,704,45.4,3.8,2010
Kentucky,Female,"1,698","1,652",70,3.4,"1,157",68.1,3.3,775,45.6,3.6,2010
Kentucky,White alone,"2,995","2,930",67.4,2.6,"1,974",65.9,2.6,"1,383",46.2,2.7,2010
Kentucky,White non-Hispanic alone,"2,889","2,859",68.8,2.6,"1,967",68.1,2.6,"1,381",47.8,2.8,2010
Kentucky,Black alone,203,196,60.1,12.5,118,58.3,12.6,76,37.6,12.2,2010
Kentucky,Asian alone,33,12,(B),(B),10,(B),(B),10,(B),(B),2010
Kentucky,Hispanic (of any race),109,72,11.5,11.9,8,7.6,17.5,2,2.1,6.5,2010
Kentucky,White alone or in combination,"3,011","2,946",67.3,2.6,"1,984",65.9,2.6,"1,391",46.2,2.7,2010
Kentucky,Black alone or in combination,206,200,59.8,12.4,120,58,12.5,78,37.6,12.1,2010
Kentucky,Asian alone or in combination,33,12,(B),(B),10,(B),(B),10,(B),(B),2010
Louisiana,Total,"3,314","3,236",74.9,2.3,"2,425",73.2,2.2,"1,618",48.8,2.6,2010
Louisiana,Male,"1,555","1,520",73.1,3.4,"1,111",71.5,3.4,766,49.2,3.7,2010
Louisiana,Female,"1,759","1,717",76.5,3.1,"1,314",74.7,3,852,48.4,3.5,2010
Louisiana,White alone,"2,218","2,167",74.9,2.8,"1,624",73.2,2.7,"1,101",49.6,3.1,2010
Louisiana,White non-Hispanic alone,"2,129","2,116",75.5,2.8,"1,597",75,2.8,"1,087",51.1,3.2,2010
Louisiana,Black alone,981,981,75.8,4.9,743,75.8,4.9,480,48.9,5.7,2010
Louisiana,Asian alone,36,9,(B),(B),3,(B),(B),3,(B),(B),2010
Louisiana,Hispanic (of any race),104,67,63.2,22.3,42,40.4,27.4,16,15.3,16.3,2010
Louisiana,White alone or in combination,"2,275","2,225",74.9,2.7,"1,667",73.3,2.7,"1,123",49.3,3.1,2010
Louisiana,Black alone or in combination,"1,015","1,015",76.2,4.8,773,76.2,4.8,494,48.7,5.6,2010
Louisiana,Asian alone or in combination,40,14,(B),(B),3,(B),(B),3,(B),(B),2010
Maine,Total,"1,034","1,017",76.6,2.4,779,75.4,2.4,604,58.4,2.8,2010
Maine,Male,499,487,74.6,3.6,363,72.8,3.6,284,56.9,4.1,2010
Maine,Female,535,530,78.5,3.3,416,77.7,3.3,320,59.8,3.9,2010
Maine,White alone,"1,004",992,77.1,2.5,765,76.2,2.4,596,59.3,2.8,2010
Maine,White non-Hispanic alone,"1,000",989,77.1,2.5,763,76.3,2.4,594,59.4,2.8,2010
Maine,Black alone,13,9,(B),(B),5,(B),(B),2,(B),(B),2010
Maine,Asian alone,6,4,(B),(B),2,(B),(B),2,(B),(B),2010
Maine,Hispanic (of any race),6,5,(B),(B),4,(B),(B),2,(B),(B),2010
Maine,White alone or in combination,"1,011","1,000",77,2.4,771,76.2,2.4,598,59.1,2.8,2010
Maine,Black alone or in combination,18,14,(B),(B),8,(B),(B),4,(B),(B),2010
Maine,Asian alone or in combination,7,5,(B),(B),3,(B),(B),2,(B),(B),2010
Maryland,Total,"4,279","3,853",65.1,2.3,"2,509",58.6,2.3,"1,802",42.1,2.3,2010
Maryland,Male,"2,039","1,818",63.6,3.3,"1,156",56.7,3.4,823,40.4,3.3,2010
Maryland,Female,"2,240","2,035",66.5,3.1,"1,353",60.4,3.2,979,43.7,3.2,2010
Maryland,White alone,"2,760","2,559",66.8,2.8,"1,711",62,2.8,"1,233",44.7,2.9,2010
Maryland,White non-Hispanic alone,"2,474","2,428",67.4,2.9,"1,638",66.2,2.9,"1,189",48.1,3.1,2010
Maryland,Black alone,"1,217","1,082",63.3,5.2,685,56.3,5.4,505,41.5,5.2,2010
Maryland,Asian alone,240,152,46.9,11.3,71,29.7,15.6,41,16.9,9.3,2010
Maryland,Hispanic (of any race),337,166,54.4,11.5,90,26.8,18.5,55,16.3,9.6,2010
Maryland,White alone or in combination,"2,792","2,591",67,2.8,"1,736",62.2,2.8,"1,242",44.5,2.9,2010
Maryland,Black alone or in combination,"1,237","1,102",63.5,5.2,700,56.6,5.3,514,41.5,5.2,2010
Maryland,Asian alone or in combination,248,160,49.5,11.4,79,32,15.2,44,17.6,9.3,2010
Massachusetts,Total,"5,097","4,695",68.8,2,"3,230",63.4,2,"2,452",48.1,2.1,2010
Massachusetts,Male,"2,436","2,235",66.5,2.9,"1,486",61,3,"1,168",48,3,2010
Massachusetts,Female,"2,661","2,460",70.9,2.7,"1,743",65.5,2.7,"1,284",48.2,2.9,2010
Massachusetts,White alone,"4,516","4,283",70.9,2.1,"3,037",67.2,2.1,"2,304",51,2.2,2010
Massachusetts,White non-Hispanic alone,"4,114","3,965",73.4,2.1,"2,910",70.7,2.1,"2,258",54.9,2.3,2010
Massachusetts,Black alone,319,236,46.3,9.6,109,34.2,11.7,93,29.1,9.2,2010
Massachusetts,Asian alone,216,134,47,11.6,63,29.2,16.2,44,20.3,10.3,2010
Massachusetts,Hispanic (of any race),430,346,38.8,10.5,134,31.2,12.3,48,11.3,7.1,2010
Massachusetts,White alone or in combination,"4,547","4,313",70.7,2.1,"3,051",67.1,2.1,"2,314",50.9,2.2,2010
Massachusetts,Black alone or in combination,343,260,46.5,9.3,121,35.3,11.2,99,29,8.8,2010
Massachusetts,Asian alone or in combination,220,134,47,11.5,63,28.7,16.2,44,19.9,10.1,2010
Michigan,Total,"7,513","7,176",71.4,1.6,"5,127",68.2,1.6,"3,394",45.2,1.7,2010
Michigan,Male,"3,606","3,438",69.6,2.4,"2,393",66.4,2.4,"1,606",44.6,2.5,2010
Michigan,Female,"3,907","3,738",73.2,2.2,"2,734",70,2.2,"1,787",45.7,2.4,2010
Michigan,White alone,"6,141","5,954",73.5,1.7,"4,376",71.3,1.7,"2,873",46.8,1.9,2010
Michigan,White non-Hispanic alone,"5,929","5,800",73.8,1.7,"4,281",72.2,1.7,"2,817",47.5,1.9,2010
Michigan,Black alone,997,974,61.4,5.6,598,60,5.7,407,40.8,5.7,2010
Michigan,Asian alone,244,118,41.7,9.7,49,20.2,17.2,34,14,8.4,2010
Michigan,Hispanic (of any race),229,171,62.6,15.6,107,46.6,17.5,68,29.6,14.2,2010
Michigan,White alone or in combination,"6,227","6,040",73.5,1.7,"4,438",71.3,1.7,"2,919",46.9,1.9,2010
Michigan,Black alone or in combination,"1,047","1,023",63.1,5.5,646,61.7,5.5,450,43,5.6,2010
Michigan,Asian alone or in combination,248,122,40.4,9.6,49,19.9,16.8,34,13.8,8.3,2010
Minnesota,Total,"3,982","3,830",72,2.2,"2,756",69.2,2.2,"2,104",52.8,2.4,2010
Minnesota,Male,"1,965","1,892",70.9,3.1,"1,341",68.3,3.1,"1,016",51.7,3.4,2010
Minnesota,Female,"2,017","1,938",73,3,"1,415",70.2,3,"1,088",53.9,3.3,2010
Minnesota,White alone,"3,680","3,599",73.3,2.2,"2,639",71.7,2.2,"2,024",55,2.4,2010
Minnesota,White non-Hispanic alone,"3,556","3,518",73.8,2.2,"2,598",73.1,2.2,"1,997",56.2,2.5,2010
Minnesota,Black alone,140,101,60.9,15.1,62,44.1,17.5,45,32.2,14.2,2010
Minnesota,Asian alone,84,56,40.4,18.3,23,27.1,24.6,14,16.5,15.2,2010
Minnesota,Hispanic (of any race),138,89,48.5,18.4,43,31.2,24.8,30,21.4,16.3,2010
Minnesota,White alone or in combination,"3,725","3,642",73.1,2.2,"2,664",71.5,2.2,"2,040",54.8,2.4,2010
Minnesota,Black alone or in combination,160,122,56,14.1,68,42.6,16.2,46,28.7,12.9,2010
Minnesota,Asian alone or in combination,85,57,41.5,18.4,24,28,24.5,15,17.5,15.5,2010
Mississippi,Total,"2,113","2,087",73.4,2.3,"1,532",72.5,2.3,983,46.5,2.6,2010
Mississippi,Male,"1,000",987,68.3,3.6,674,67.5,3.6,425,42.5,3.8,2010
Mississippi,Female,"1,113","1,099",78,3,857,77,3,558,50.1,3.6,2010
