State,Race and Hispanic origin,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of Error1,Total registered,"Percent registered
(Total)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,Year
KANSAS,Black alone,105,103,62.5,13.9,64,61.3,14,54,51.4,14.3,2012
KANSAS,Asian alone,66,27,(B),(B),9,(B),(B),6,(B),(B),2012
KANSAS,Hispanic (of any race),197,108,50,12.1,54,27.5,18.3,33,16.6,10.1,2012
KANSAS,White alone or in combination,"1,908","1,809",76,2.5,"1,374",72,2.4,"1,172",61.4,2.7,2012
KANSAS,Black alone or in combination,126,124,59.4,12.9,74,58.5,12.9,63,50.2,13.1,2012
KANSAS,Asian alone or in combination,80,33,(B),13.4,15,18.9,(B),8,10.6,10.5,2012
KENTUCKY,Total,"3,291","3,194",72.1,2.4,"2,303",70,2.4,"1,895",57.6,2.6,2012
KENTUCKY,Male,"1,581","1,531",68,3.5,"1,041",65.8,3.5,843,53.3,3.7,2012
KENTUCKY,Female,"1,710","1,663",75.9,3.2,"1,262",73.8,3.1,"1,052",61.5,3.5,2012
KENTUCKY,White alone,"2,966","2,899",72.1,2.5,"2,091",70.5,2.5,"1,733",58.4,2.7,2012
KENTUCKY,.White non-Hispanic alone,"2,908","2,886",72.1,2.5,"2,082",71.6,2.5,"1,723",59.3,2.7,2012
KENTUCKY,Black alone,223,220,73.8,10.7,162,72.8,10.7,125,56.1,12,2012
KENTUCKY,Asian alone,61,33,(B),(B),14,(B),(B),5,(B),(B),2012
KENTUCKY,Hispanic (of any race),82,34,(B),22,20,24,(B),13,15.5,18.7,2012
KENTUCKY,White alone or in combination,"3,001","2,935",72.2,2.5,"2,120",70.6,2.5,"1,758",58.6,2.7,2012
KENTUCKY,Black alone or in combination,247,244,73.8,10.2,180,72.9,10.1,140,56.6,11.3,2012
KENTUCKY,Asian alone or in combination,64,36,(B),(B),17,(B),(B),8,(B),(B),2012
LOUISIANA,Total,"3,321","3,239",77.1,2.2,"2,498",75.2,2.2,"2,148",64.7,2.4,2012
LOUISIANA,Male,"1,554","1,494",73.7,3.4,"1,102",70.9,3.4,931,59.9,3.7,2012
LOUISIANA,Female,"1,766","1,745",80,2.9,"1,396",79,2.8,"1,217",68.9,3.2,2012
LOUISIANA,White alone,"2,242","2,174",77.3,2.7,"1,681",75,2.6,"1,421",63.4,3,2012
LOUISIANA,.White non-Hispanic alone,"2,141","2,128",77.3,2.7,"1,644",76.8,2.7,"1,389",64.9,3,2012
LOUISIANA,Black alone,996,996,77.1,4.8,768,77.1,4.8,692,69.5,5.2,2012
LOUISIANA,Asian alone,37,23,(B),(B),6,(B),(B),6,(B),(B),2012
LOUISIANA,Hispanic (of any race),125,70,(B),20.6,57,45.3,(B),48,38.1,20.1,2012
LOUISIANA,White alone or in combination,"2,262","2,194",77.3,2.7,"1,697",75,2.6,"1,428",63.2,3,2012
LOUISIANA,Black alone or in combination,"1,013","1,013",77.5,4.7,786,77.5,4.7,700,69.1,5.2,2012
LOUISIANA,Asian alone or in combination,41,27,(B),(B),6,(B),(B),6,(B),(B),2012
MAINE,Total,"1,042","1,020",77.1,2.4,787,75.5,2.4,700,67.2,2.7,2012
MAINE,Male,509,501,76.4,3.5,383,75.2,3.5,333,65.5,3.9,2012
MAINE,Female,533,519,77.9,3.4,404,75.8,3.3,367,68.8,3.7,2012
MAINE,White alone,"1,001",986,77.7,2.4,766,76.5,2.4,682,68.1,2.7,2012
MAINE,.White non-Hispanic alone,993,981,77.7,2.5,762,76.8,2.4,678,68.3,2.7,2012
MAINE,Black alone,8,7,(B),(B),4,(B),(B),4,(B),(B),2012
MAINE,Asian alone,14,8,(B),(B),3,(B),(B),2,(B),(B),2012
MAINE,Hispanic (of any race),10,7,(B),(B),4,(B),(B),4,(B),(B),2012
MAINE,White alone or in combination,"1,015","1,000",77.6,2.4,776,76.4,2.4,691,68,2.7,2012
MAINE,Black alone or in combination,9,8,(B),(B),6,(B),(B),6,(B),(B),2012
MAINE,Asian alone or in combination,15,9,(B),(B),4,(B),(B),3,(B),(B),2012
MARYLAND,Total,"4,449","4,007",72.1,2.2,"2,888",64.9,2.2,"2,609",58.7,2.2,2012
MARYLAND,Male,"2,101","1,914",69.8,3.2,"1,336",63.6,3.2,"1,189",56.6,3.3,2012
MARYLAND,Female,"2,348","2,093",74.2,3,"1,552",66.1,2.9,"1,421",60.5,3.1,2012
MARYLAND,White alone,"2,837","2,635",72.6,2.7,"1,913",67.4,2.6,"1,711",60.3,2.8,2012
MARYLAND,.White non-Hispanic alone,"2,567","2,511",73.3,2.7,"1,840",71.7,2.7,"1,648",64.2,2.9,2012
MARYLAND,Black alone,"1,276","1,167",72.8,4.9,850,66.6,4.8,788,61.8,5,2012
MARYLAND,Asian alone,260,131,59.4,10.9,78,29.9,16.5,66,25.4,10.4,2012
MARYLAND,Hispanic (of any race),342,176,65.6,12.2,115,33.7,17.1,103,30.2,11.9,2012
MARYLAND,White alone or in combination,"2,886","2,681",72.4,2.7,"1,940",67.2,2.6,"1,735",60.1,2.8,2012
MARYLAND,Black alone or in combination,"1,318","1,206",73,4.8,880,66.8,4.7,819,62.1,4.9,2012
MARYLAND,Asian alone or in combination,277,149,60.5,10.8,90,32.4,15.4,75,26.9,10.2,2012
MASSACHUSETTS,Total,"5,170","4,774",78.7,1.8,"3,759",72.7,1.8,"3,382",65.4,2,2012
MASSACHUSETTS,Male,"2,452","2,238",78.2,2.7,"1,750",71.4,2.6,"1,576",64.3,2.9,2012
MASSACHUSETTS,Female,"2,718","2,537",79.2,2.5,"2,009",73.9,2.4,"1,807",66.5,2.7,2012
MASSACHUSETTS,White alone,"4,358","4,128",80.7,1.9,"3,331",76.4,1.8,"3,009",69,2.1,2012
MASSACHUSETTS,.White non-Hispanic alone,"3,991","3,877",81.5,1.9,"3,161",79.2,1.9,"2,839",71.1,2.1,2012
MASSACHUSETTS,Black alone,385,321,70.9,9,228,59.2,9.1,211,54.7,9.1,2012
MASSACHUSETTS,Asian alone,317,219,54.3,10.2,119,37.6,12.7,98,30.8,9.8,2012
MASSACHUSETTS,Hispanic (of any race),453,322,66.9,11,216,47.6,12.3,202,44.6,10.9,2012
MASSACHUSETTS,White alone or in combination,"4,437","4,206",80.5,1.9,"3,384",76.3,1.8,"3,054",68.8,2.1,2012
MASSACHUSETTS,Black alone or in combination,451,387,71.2,8.3,275,61.1,8.3,248,55.1,8.4,2012
MASSACHUSETTS,Asian alone or in combination,333,235,55.9,10.1,131,39.4,12.2,102,30.6,9.5,2012
MICHIGAN,Total,"7,496","7,228",77.8,1.5,"5,620",75,1.5,"4,832",64.5,1.7,2012
MICHIGAN,Male,"3,601","3,458",77,2.2,"2,663",73.9,2.1,"2,273",63.1,2.4,2012
MICHIGAN,Female,"3,895","3,769",78.4,2.1,"2,957",75.9,2,"2,559",65.7,2.3,2012
MICHIGAN,White alone,"6,103","5,971",79.7,1.6,"4,758",78,1.6,"4,065",66.6,1.8,2012
MICHIGAN,.White non-Hispanic alone,"5,918","5,816",79.6,1.6,"4,629",78.2,1.6,"3,951",66.8,1.8,2012
MICHIGAN,Black alone,"1,028",991,69.3,5.3,687,66.8,5.3,627,61,5.5,2012
MICHIGAN,Asian alone,240,141,59.3,11.7,84,34.9,15.7,73,30.4,11.3,2012
MICHIGAN,Hispanic (of any race),285,225,86,13.1,193,67.9,10.9,158,55.4,13.9,2012
MICHIGAN,White alone or in combination,"6,176","6,044",79.6,1.6,"4,810",77.9,1.6,"4,107",66.5,1.8,2012
MICHIGAN,Black alone or in combination,"1,062","1,024",69.9,5.2,716,67.4,5.2,653,61.6,5.4,2012
