STATE,Age,Total,Total Registered,Percent registered (18+),CI Registered,Total Voted,Percent voted (18+),CI Voted,Year
INDIANA,18 to 24,559,268,48,6.3,91,16.3,4.7,2014
INDIANA,25 to 34,879,487,55.4,5,168,19.1,4,2014
INDIANA,35 to 44,830,464,55.9,5.2,208,25.1,4.5,2014
INDIANA,45 to 64,1759,1142,64.9,3.4,701,39.8,3.5,2014
INDIANA,65+,886,688,77.6,4.2,478,53.9,5,2014
IOWA,Total,2336,1584,67.8,2.4,1203,51.5,2.6,2014
IOWA,18 to 24,256,110,43,7.7,51,19.7,6.2,2014
IOWA,25 to 34,445,247,55.6,5.8,141,31.6,5.5,2014
IOWA,35 to 44,344,238,69.1,6.2,179,52.1,6.7,2014
IOWA,45 to 64,819,598,73,3.8,488,59.5,4.3,2014
IOWA,65+,471,390,82.9,4.3,345,73.3,5.1,2014
KANSAS,Total,2125,1353,63.7,2.6,962,45.3,2.7,2014
KANSAS,18 to 24,258,87,33.7,7.4,34,13.3,5.4,2014
KANSAS,25 to 34,414,217,52.5,6.2,108,26,5.5,2014
KANSAS,35 to 44,324,190,58.6,6.9,129,39.8,6.9,2014
KANSAS,45 to 64,714,524,73.4,4.2,417,58.4,4.7,2014
KANSAS,65+,415,335,80.7,4.9,274,66,5.9,2014
KENTUCKY,Total,3323,2298,69.2,2.4,1525,45.9,2.6,2014
KENTUCKY,18 to 24,433,226,52.3,7.3,101,23.4,6.2,2014
KENTUCKY,25 to 34,559,349,62.5,6.2,202,36.1,6.1,2014
KENTUCKY,35 to 44,512,382,74.5,5.8,236,46,6.7,2014
KENTUCKY,45 to 64,1196,866,72.4,3.9,619,51.8,4.4,2014
KENTUCKY,65+,623,475,76.2,5.2,367,59,6,2014
LOUISIANA,Total,3450,2398,69.5,2.3,1677,48.6,2.5,2014
LOUISIANA,18 to 24,501,258,51.6,6.5,132,26.2,5.7,2014
LOUISIANA,25 to 34,643,410,63.8,5.5,232,36.2,5.5,2014
LOUISIANA,35 to 44,502,306,60.9,6.3,183,36.5,6.2,2014
LOUISIANA,45 to 64,1179,913,77.5,3.5,703,59.7,4.1,2014
LOUISIANA,65+,625,510,81.6,4.5,426,68.2,5.4,2014
MAINE,Total,1061,799,75.4,2.4,642,60.5,2.7,2014
MAINE,18 to 24,110,54,49.4,8.7,33,30.2,8,2014
MAINE,25 to 34,154,98,63.5,7,67,43.4,7.3,2014
MAINE,35 to 44,153,119,77.8,6.1,90,58.6,7.3,2014
MAINE,45 to 64,382,310,81.2,3.6,258,67.7,4.4,2014
MAINE,65+,262,218,83.4,4.2,194,74.2,4.9,2014
MARYLAND,Total,4542,2995,65.9,2.2,2028,44.7,2.3,2014
MARYLAND,18 to 24,490,210,42.9,6.9,106,21.7,5.7,2014
MARYLAND,25 to 34,964,544,56.4,4.9,265,27.5,4.4,2014
MARYLAND,35 to 44,649,432,66.6,5.7,285,44,6,2014
MARYLAND,45 to 64,1682,1229,73,3.3,912,54.2,3.7,2014
MARYLAND,65+,757,580,76.6,4.7,460,60.8,5.4,2014
MASSACHUSETTS,Total,5279,3250,61.6,2,2259,42.8,2,2014
MASSACHUSETTS,18 to 24,590,238,40.4,6,109,18.5,4.8,2014
MASSACHUSETTS,25 to 34,983,427,43.4,4.7,233,23.7,4,2014
MASSACHUSETTS,35 to 44,844,504,59.8,5,298,35.3,4.9,2014
MASSACHUSETTS,45 to 64,1813,1271,70.1,3.2,974,53.7,3.5,2014
MASSACHUSETTS,65+,1049,810,77.3,3.9,646,61.6,4.5,2014
MICHIGAN,Total,7576,5159,68.1,1.6,3416,45.1,1.7,2014
MICHIGAN,18 to 24,915,448,48.9,5,167,18.3,3.8,2014
MICHIGAN,25 to 34,1127,674,59.8,4.4,340,30.1,4.1,2014
MICHIGAN,35 to 44,1271,863,67.9,3.9,546,43,4.2,2014
MICHIGAN,45 to 64,2660,1888,71,2.6,1312,49.3,2.9,2014
MICHIGAN,65+,1602,1285,80.2,3,1051,65.6,3.6,2014
MINNESOTA,Total,4104,2822,68.8,2.2,2047,49.9,2.4,2014
MINNESOTA,18 to 24,537,206,38.4,6.3,112,20.9,5.3,2014
MINNESOTA,25 to 34,710,416,58.6,5.6,252,35.4,5.4,2014
MINNESOTA,35 to 44,628,465,74,5.3,292,46.5,6,2014
MINNESOTA,45 to 64,1409,1080,76.7,3.4,802,56.9,4,2014
MINNESOTA,65+,819,654,79.9,4.2,588,71.8,4.8,2014
MISSISSIPPI,Total,2182,1628,74.6,2.2,907,41.6,2.5,2014
MISSISSIPPI,18 to 24,327,218,66.6,6.2,85,26.1,5.7,2014
MISSISSIPPI,25 to 34,371,234,63.1,5.9,88,23.8,5.2,2014
MISSISSIPPI,35 to 44,311,210,67.7,6.3,111,35.8,6.4,2014
MISSISSIPPI,45 to 64,739,591,80,3.5,374,50.6,4.3,2014
MISSISSIPPI,65+,434,375,86.4,3.9,248,57.2,5.6,2014
MISSOURI,Total,4505,3194,70.9,2.1,1713,38,2.2,2014
MISSOURI,18 to 24,442,217,49,7.3,64,14.5,5.1,2014
MISSOURI,25 to 34,749,477,63.7,5.4,201,26.8,4.9,2014
MISSOURI,35 to 44,805,586,72.8,4.8,305,37.8,5.2,2014
MISSOURI,45 to 64,1592,1192,74.8,3.3,684,42.9,3.8,2014
MISSOURI,65+,916,723,78.9,4.1,460,50.2,5,2014
MONTANA,Total,788,506,64.3,2.2,391,49.7,2.3,2014
MONTANA,18 to 24,101,43,42.8,6.5,21,20.7,5.3,2014
MONTANA,25 to 34,136,73,53.7,5.6,42,31,5.2,2014
MONTANA,35 to 44,104,73,70.2,5.9,55,52.8,6.5,2014
MONTANA,45 to 64,278,190,68.2,3.7,159,57,3.9,2014
MONTANA,65+,169,128,75.6,4.4,115,68.2,4.7,2014
NEBRASKA,Total,1400,873,62.4,2.6,579,41.4,2.6,2014
NEBRASKA,18 to 24,180,76,42.3,7.4,26,14.4,5.2,2014
NEBRASKA,25 to 34,265,124,46.7,6.1,68,25.7,5.4,2014
NEBRASKA,35 to 44,219,130,59.3,6.7,79,35.9,6.5,2014
NEBRASKA,45 to 64,457,322,70.4,4.3,232,50.8,4.7,2014
NEBRASKA,65+,278,221,79.5,4.9,174,62.6,5.8,2014
NEVADA,Total,2128,1088,51.1,2.6,693,32.6,2.4,2014
NEVADA,18 to 24,245,98,39.9,7.5,42,17.3,5.8,2014
NEVADA,25 to 34,388,163,42.1,6,89,23,5.1,2014
NEVADA,35 to 44,379,176,46.4,6.1,91,23.9,5.2,2014
NEVADA,45 to 64,718,370,51.5,4.4,248,34.6,4.2,2014
NEVADA,65+,399,281,70.5,5.4,223,55.8,5.9,2014
NEW HAMPSHIRE,Total,1047,694,66.3,2.4,509,48.6,2.6,2014
NEW HAMPSHIRE,18 to 24,113,53,46.7,7.8,21,19,6.1,2014
NEW HAMPSHIRE,25 to 34,164,77,47,6.5,40,24.4,5.6,2014
NEW HAMPSHIRE,35 to 44,159,106,66.8,6.2,77,48.3,6.6,2014
NEW HAMPSHIRE,45 to 64,398,290,72.8,3.7,225,56.5,4.1,2014
NEW HAMPSHIRE,65+,213,168,78.9,4.6,146,68.7,5.3,2014
NEW JERSEY,Total,6820,3919,57.5,1.8,2151,31.5,1.7,2014
NEW JERSEY,18 to 24,772,328,42.5,5.4,100,12.9,3.6,2014
NEW JERSEY,25 to 34,1139,485,42.6,4.4,160,14,3.1,2014
NEW JERSEY,35 to 44,1124,591,52.5,4.5,263,23.4,3.8,2014
NEW JERSEY,45 to 64,2427,1576,65,2.9,963,39.7,3,2014
NEW JERSEY,65+,1358,940,69.2,3.8,666,49,4.1,2014
NEW MEXICO,Total,1536,919,59.9,2.3,646,42.1,2.3,2014
NEW MEXICO,18 to 24,196,50,25.7,5.8,23,11.6,4.3,2014
NEW MEXICO,25 to 34,268,125,46.9,5.7,63,23.7,4.8,2014
NEW MEXICO,35 to 44,230,136,59,6,80,34.7,5.8,2014
NEW MEXICO,45 to 64,504,350,69.4,3.8,264,52.4,4.1,2014
NEW MEXICO,65+,338,258,76.4,4.3,216,63.8,4.9,2014
NEW YORK,Total,15274,8078,52.9,1.2,4680,30.6,1.1,2014
NEW YORK,18 to 24,1959,733,37.4,3.3,258,13.2,2.3,2014
NEW YORK,25 to 34,2882,1213,42.1,2.8,509,17.7,2.2,2014
NEW YORK,35 to 44,2310,1195,51.7,3.2,602,26.1,2.8,2014
NEW YORK,45 to 64,5153,2948,57.2,2.1,1899,36.9,2.1,2014
NEW YORK,65+,2971,1989,66.9,2.6,1411,47.5,2.8,2014
NORTH CAROLINA,Total,7412,4779,64.5,1.7,3170,42.8,1.8,2014
NORTH CAROLINA,18 to 24,1092,451,41.3,4.5,235,21.6,3.8,2014
NORTH CAROLINA,25 to 34,1199,669,55.8,4.4,347,28.9,4,2014
NORTH CAROLINA,35 to 44,1091,657,60.2,4.5,404,37.1,4.5,2014
NORTH CAROLINA,45 to 64,2582,1869,72.4,2.7,1262,48.9,3,2014
NORTH CAROLINA,65+,1448,1132,78.2,3.3,921,63.6,3.9,2014
NORTH DAKOTA,Total,567,363,64.1,2.4,279,49.2,2.5,2014
NORTH DAKOTA,18 to 24,82,36,43.5,6.5,21,25.1,5.7,2014
NORTH DAKOTA,25 to 34,121,68,56.2,5.4,45,37.2,5.2,2014
NORTH DAKOTA,35 to 44,78,48,60.7,6.6,32,41.2,6.6,2014
NORTH DAKOTA,45 to 64,184,128,69.5,4,106,57.4,4.3,2014
NORTH DAKOTA,65+,101,84,82.9,4.5,75,74.3,5.2,2014
OHIO,Total,8772,5657,64.5,1.5,3378,38.5,1.6,2014
OHIO,18 to 24,985,421,42.8,4.7,122,12.4,3.2,2014
OHIO,25 to 34,1488,882,59.2,3.8,404,27.1,3.5,2014
OHIO,35 to 44,1383,930,67.3,3.8,501,36.2,3.9,2014
OHIO,45 to 64,3033,2043,67.4,2.6,1293,42.6,2.7,2014
OHIO,65+,1883,1381,73.3,3.1,1059,56.2,3.4,2014
OKLAHOMA,Total,2851,1644,57.7,2.7,920,32.3,2.5,2014
OKLAHOMA,18 to 24,382,119,31.1,6.9,42,10.9,4.6,2014
OKLAHOMA,25 to 34,536,286,53.3,6.3,104,19.5,5,2014
OKLAHOMA,35 to 44,419,218,52.1,7.1,108,25.7,6.2,2014
OKLAHOMA,45 to 64,946,603,63.8,4.5,366,38.7,4.6,2014
OKLAHOMA,65+,568,418,73.5,5.4,300,52.9,6.1,2014
OREGON,Total,3078,2008,65.2,2.5,1594,51.8,2.6,2014
OREGON,18 to 24,380,149,39.1,7.2,89,23.4,6.3,2014
OREGON,25 to 34,531,333,62.7,6.1,242,45.6,6.2,2014
OREGON,35 to 44,497,311,62.6,6.3,237,47.8,6.5,2014
OREGON,45 to 64,1066,757,71,4,615,57.6,4.4,2014
OREGON,65+,604,457,75.8,5,410,68,5.5,2014
PENNSYLVANIA,Total,9924,6121,61.7,1.5,3803,38.3,1.5,2014
PENNSYLVANIA,18 to 24,1119,404,36.1,4.3,116,10.4,2.8,2014
PENNSYLVANIA,25 to 34,1667,852,51.1,3.7,424,25.4,3.2,2014
PENNSYLVANIA,35 to 44,1484,972,65.5,3.7,509,34.3,3.7,2014
PENNSYLVANIA,45 to 64,3607,2398,66.5,2.4,1633,45.3,2.5,2014
PENNSYLVANIA,65+,2047,1496,73.1,3,1121,54.8,3.3,2014
RHODE ISLAND,Total,819,486,59.4,2.6,331,40.4,2.5,2014
RHODE ISLAND,18 to 24,108,44,41.1,7,14,13,4.8,2014
RHODE ISLAND,25 to 34,132,61,46.4,6.4,25,18.8,5,2014
RHODE ISLAND,35 to 44,122,67,54.9,6.7,45,37.1,6.5,2014
RHODE ISLAND,45 to 64,289,197,68.1,4.1,157,54.4,4.4,2014
RHODE ISLAND,65+,167,117,69.7,5.3,90,53.7,5.7,2014
SOUTH CAROLINA,Total,3667,2458,67,2.3,1514,41.3,2.4,2014
SOUTH CAROLINA,18 to 24,462,209,45.2,6.9,89,19.3,5.5,2014
SOUTH CAROLINA,25 to 34,617,386,62.5,5.8,156,25.2,5.2,2014
SOUTH CAROLINA,35 to 44,574,379,66.1,5.9,204,35.6,5.9,2014
SOUTH CAROLINA,45 to 64,1294,949,73.3,3.7,688,53.2,4.1,2014
SOUTH CAROLINA,65+,720,535,74.3,4.8,376,52.2,5.5,2014
SOUTH DAKOTA,Total,625,401,64.2,2.6,273,43.7,2.7,2014
SOUTH DAKOTA,18 to 24,69,24,(B),(B),8,(B),(B),2014
SOUTH DAKOTA,25 to 34,125,67,53.7,6,32,25.2,5.2,2014
SOUTH DAKOTA,35 to 44,86,62,71.7,6.5,42,48.1,7.2,2014
SOUTH DAKOTA,45 to 64,233,161,68.8,4.1,124,52.9,4.4,2014
SOUTH DAKOTA,65+,111,87,78.8,5.2,68,61.4,6.2,2014
TENNESSEE,Total,4975,3088,62.1,2.1,1763,35.4,2,2014
TENNESSEE,18 to 24,661,272,41.1,5.7,78,11.8,3.8,2014
TENNESSEE,25 to 34,803,387,48.2,5.3,137,17.1,4,2014
TENNESSEE,35 to 44,817,515,63.1,5.1,300,36.7,5.1,2014
TENNESSEE,45 to 64,1750,1184,67.7,3.4,747,42.7,3.5,2014
TENNESSEE,65+,945,730,77.3,4.1,502,53.1,4.9,2014
TEXAS,Total,19354,9946,51.4,1.1,5836,30.2,1,2014
TEXAS,18 to 24,2611,864,33.1,2.8,287,11,1.9,2014
TEXAS,25 to 34,3815,1551,40.6,2.4,687,18,1.9,2014
TEXAS,35 to 44,3558,1646,46.3,2.5,835,23.5,2.2,2014
TEXAS,45 to 64,6416,3801,59.2,1.9,2478,38.6,1.8,2014
TEXAS,65+,2954,2085,70.6,2.5,1548,52.4,2.8,2014
UTAH,Total,2026,1101,54.3,2.2,703,34.7,2.1,2014
UTAH,18 to 24,259,74,28.7,5.6,35,13.4,4.3,2014
UTAH,25 to 34,457,195,42.7,4.6,99,21.8,3.9,2014
UTAH,35 to 44,436,242,55.6,4.8,121,27.7,4.3,2014
UTAH,45 to 64,589,374,63.5,4,258,43.9,4.1,2014
UTAH,65+,286,215,75.3,5.1,189,66.1,5.6,2014
VERMONT,Total,493,324,65.7,2.7,205,41.6,2.8,2014
VERMONT,18 to 24,55,19,(B),(B),6,(B),(B),2014
VERMONT,25 to 34,74,30,(B),(B),12,(B),(B),2014
VERMONT,35 to 44,74,49,(B),(B),28,(B),(B),2014
VERMONT,45 to 64,184,140,75.7,4,93,50.7,4.6,2014
VERMONT,65+,106,86,81,4.8,65,61.5,5.9,2014
VIRGINIA,Total,6221,3924,63.1,1.9,2453,39.4,1.9,2014
VIRGINIA,18 to 24,728,315,43.2,5.6,112,15.4,4.1,2014
VIRGINIA,25 to 34,1075,606,56.3,4.6,258,24,4,2014
VIRGINIA,35 to 44,1094,697,63.8,4.5,403,36.9,4.5,2014
VIRGINIA,45 to 64,2160,1449,67.1,3.1,1017,47.1,3.3,2014
VIRGINIA,65+,1165,858,73.7,4,662,56.8,4.4,2014
WASHINGTON,Total,5333,3281,61.5,2,2390,44.8,2.1,2014
WASHINGTON,18 to 24,592,237,40,6.1,127,21.4,5.1,2014
WASHINGTON,25 to 34,1008,458,45.4,4.8,247,24.5,4.1,2014
WASHINGTON,35 to 44,908,565,62.3,4.9,345,38,4.9,2014
WASHINGTON,45 to 64,1796,1242,69.1,3.3,981,54.6,3.6,2014
WASHINGTON,65+,1029,779,75.7,4.1,690,67.1,4.5,2014
WEST VIRGINIA,Total,1449,896,61.8,2.5,484,33.4,2.5,2014
WEST VIRGINIA,18 to 24,185,85,46.2,7.3,26,14.3,5.1,2014
WEST VIRGINIA,25 to 34,206,120,58,6.8,41,19.8,5.5,2014
WEST VIRGINIA,35 to 44,216,125,57.8,6.7,63,29.1,6.1,2014
WEST VIRGINIA,45 to 64,505,316,62.6,4.3,189,37.4,4.3,2014
WEST VIRGINIA,65+,338,250,74.1,4.7,165,49,5.4,2014
WISCONSIN,Total,4356,3005,69,2.1,2343,53.8,2.3,2014
WISCONSIN,18 to 24,489,223,45.6,6.8,131,26.9,6.1,2014
WISCONSIN,25 to 34,756,415,54.9,5.5,287,38,5.3,2014
WISCONSIN,35 to 44,661,456,69,5.4,336,50.8,5.9,2014
WISCONSIN,45 to 64,1656,1282,77.4,3.1,1041,62.9,3.6,2014
WISCONSIN,65+,795,629,79.1,4.4,548,68.9,5,2014
WYOMING,Total,441,241,54.7,2.7,172,39.1,2.6,2014
WYOMING,18 to 24,52,14,(B),(B),7,(B),(B),2014
WYOMING,25 to 34,80,39,48.5,6.3,21,26.7,5.6,2014
WYOMING,35 to 44,73,36,(B),(B),21,(B),(B),2014
WYOMING,45 to 64,153,95,62.5,4.4,75,49,4.5,2014
WYOMING,65+,82,57,68.9,5.7,48,58.3,6.1,2014
