STATE,Age,Total,Total Registered,Percent registered (18+),CI Registered,Total Voted,Percent voted (18+),CI Voted,Year
NEW MEXICO,45 to 64,516,328,63.6,4.3,279,54,4.4,2010
NEW MEXICO,65 to 74,142,92,64.8,8.1,77,54.4,8.4,2010
NEW MEXICO,75+,113,70,61.6,9.2,58,50.8,9.5,2010
NEW YORK,Total,14974,8395,56.1,1.2,5746,38.4,1.2,2010
NEW YORK,18 to 24,2063,846,41,3.3,393,19.1,2.6,2010
NEW YORK,25 to 44,5079,2525,49.7,2.1,1429,28.1,1.9,2010
NEW YORK,45 to 64,5189,3250,62.6,2,2520,48.6,2.1,2010
NEW YORK,65 to 74,1290,882,68.3,3.9,710,55,4.2,2010
NEW YORK,75+,1353,891,65.9,3.9,693,51.3,4.1,2010
NORTH CAROLINA,Total,6998,4455,63.7,1.7,3009,43,1.8,2010
NORTH CAROLINA,18 to 24,923,417,45.2,4.9,192,20.8,4,2010
NORTH CAROLINA,25 to 44,2406,1373,57,3,804,33.4,2.9,2010
NORTH CAROLINA,45 to 64,2471,1727,69.9,2.8,1268,51.3,3,2010
NORTH CAROLINA,65 to 74,677,508,75.1,5,440,65,5.5,2010
NORTH CAROLINA,75+,521,430,82.6,5,305,58.5,6.5,2010
NORTH DAKOTA,Total,488,361,73.9,2.3,266,54.5,2.6,2010
NORTH DAKOTA,18 to 24,74,47,(B),(B),27,(B),(B),2010
NORTH DAKOTA,25 to 44,154,100,64.9,4.5,63,40.6,4.6,2010
NORTH DAKOTA,45 to 64,174,142,81.4,3.5,112,64.5,4.3,2010
NORTH DAKOTA,65 to 74,42,37,(B),(B),32,(B),(B),2010
NORTH DAKOTA,75+,44,36,(B),(B),32,(B),(B),2010
OHIO,Total,8642,5601,64.8,1.5,3824,44.2,1.6,2010
OHIO,18 to 24,1086,519,47.8,4.5,220,20.3,3.7,2010
OHIO,25 to 44,2828,1745,61.7,2.7,986,34.9,2.7,2010
OHIO,45 to 64,3241,2291,70.7,2.4,1735,53.5,2.6,2010
OHIO,65 to 74,782,551,70.5,4.9,490,62.6,5.2,2010
OHIO,75+,704,495,70.3,5.2,392,55.7,5.6,2010
OKLAHOMA,Total,2695,1603,59.5,2.6,1061,39.4,2.6,2010
OKLAHOMA,18 to 24,337,145,42.9,7.4,60,17.9,5.7,2010
OKLAHOMA,25 to 44,940,489,52,4.5,277,29.5,4.1,2010
OKLAHOMA,45 to 64,919,603,65.6,4.3,421,45.8,4.5,2010
OKLAHOMA,65 to 74,293,207,70.7,7.3,174,59.1,7.9,2010
OKLAHOMA,75+,205,159,77.3,8,129,62.8,9.2,2010
OREGON,Total,2974,2005,67.4,2.4,1594,53.6,2.6,2010
OREGON,18 to 24,303,170,56.1,8.1,93,30.9,7.5,2010
OREGON,25 to 44,1094,681,62.3,4.1,485,44.4,4.2,2010
OREGON,45 to 64,1082,777,71.8,3.9,676,62.5,4.2,2010
OREGON,65 to 74,247,175,71,8.2,165,66.7,8.5,2010
OREGON,75+,249,201,80.9,7,174,70,8.2,2010
PENNSYLVANIA,Total,9631,6031,62.6,1.5,4104,42.6,1.5,2010
PENNSYLVANIA,18 to 24,1120,403,36,4.3,167,14.9,3.2,2010
PENNSYLVANIA,25 to 44,3085,1921,62.3,2.6,1098,35.6,2.6,2010
PENNSYLVANIA,45 to 64,3476,2310,66.5,2.4,1724,49.6,2.5,2010
PENNSYLVANIA,65 to 74,1040,753,72.5,4.2,617,59.3,4.6,2010
PENNSYLVANIA,75+,911,644,70.8,4.5,498,54.7,4.9,2010
RHODE ISLAND,Total,812,510,62.8,2.6,348,42.9,2.7,2010
RHODE ISLAND,18 to 24,117,51,43.3,7,20,16.9,5.3,2010
RHODE ISLAND,25 to 44,260,150,57.5,4.7,92,35.3,4.6,2010
RHODE ISLAND,45 to 64,301,209,69.5,4.1,160,53.3,4.4,2010
RHODE ISLAND,65 to 74,60,42,(B),(B),34,(B),(B),2010
RHODE ISLAND,75+,74,58,(B),(B),42,(B),(B),2010
SOUTH CAROLINA,Total,3453,2304,66.7,2.4,1700,49.2,2.5,2010
SOUTH CAROLINA,18 to 24,402,183,45.4,7.4,127,31.7,6.9,2010
SOUTH CAROLINA,25 to 44,1195,762,63.7,4.1,526,44,4.3,2010
SOUTH CAROLINA,45 to 64,1219,869,71.3,3.8,695,57,4.2,2010
SOUTH CAROLINA,65 to 74,350,273,78,6.6,199,56.8,7.9,2010
SOUTH CAROLINA,75+,286,218,76.1,7.5,152,53.1,8.8,2010
SOUTH DAKOTA,Total,602,406,67.4,2.3,322,53.5,2.4,2010
SOUTH DAKOTA,18 to 24,77,35,46.2,6.8,18,22.9,5.8,2010
SOUTH DAKOTA,25 to 44,196,124,63.5,4.1,89,45.3,4.3,2010
SOUTH DAKOTA,45 to 64,224,163,72.7,3.6,141,63,3.9,2010
SOUTH DAKOTA,65 to 74,57,46,(B),(B),41,(B),(B),2010
SOUTH DAKOTA,75+,48,37,(B),(B),33,(B),(B),2010
TENNESSEE,Total,4745,2854,60.1,2.1,1714,36.1,2.1,2010
TENNESSEE,18 to 24,504,216,42.8,6.6,74,14.7,4.7,2010
TENNESSEE,25 to 44,1706,947,55.5,3.6,443,26,3.2,2010
TENNESSEE,45 to 64,1722,1073,62.3,3.5,743,43.1,3.6,2010
TENNESSEE,65 to 74,500,393,78.7,5.5,315,63,6.5,2010
TENNESSEE,75+,313,225,72,7.6,139,44.6,8.4,2010
TEXAS,Total,17847,9493,53.2,1.1,5600,31.4,1,2010
TEXAS,18 to 24,2408,868,36,3,344,14.3,2.1,2010
TEXAS,25 to 44,7015,3218,45.9,1.8,1497,21.3,1.5,2010
TEXAS,45 to 64,5963,3684,61.8,1.9,2472,41.4,1.9,2010
TEXAS,65 to 74,1424,998,70,3.7,775,54.4,4,2010
TEXAS,75+,1037,725,69.9,4.3,513,49.4,4.7,2010
UTAH,Total,1929,1095,56.8,2.3,695,36,2.3,2010
UTAH,18 to 24,261,82,31.6,6,29,10.9,4,2010
UTAH,25 to 44,852,427,50.1,3.6,234,27.5,3.2,2010
UTAH,45 to 64,548,380,69.3,4.1,278,50.6,4.4,2010
UTAH,65 to 74,161,120,74.9,7.1,94,58.6,8.1,2010
UTAH,75+,106,85,79.9,8.1,61,56.9,10,2010
VERMONT,Total,490,356,72.7,2.5,265,54,2.8,2010
VERMONT,18 to 24,49,20,(B),(B),10,(B),(B),2010
VERMONT,25 to 44,159,108,67.9,4.5,68,42.8,4.8,2010
VERMONT,45 to 64,189,153,81,3.5,123,65.1,4.2,2010
VERMONT,65 to 74,57,45,(B),(B),37,(B),(B),2010
VERMONT,75+,35,30,(B),(B),26,(B),(B),2010
VIRGINIA,Total,5873,3546,60.4,1.9,2257,38.4,1.9,2010
VIRGINIA,18 to 24,734,326,44.4,5.5,138,18.7,4.3,2010
VIRGINIA,25 to 44,2091,1087,52,3.3,615,29.4,3,2010
VIRGINIA,45 to 64,2091,1420,67.9,3,1003,48,3.3,2010
VIRGINIA,65 to 74,616,451,73.3,5.3,332,54,6,2010
VIRGINIA,75+,341,261,76.7,6.8,169,49.4,8.1,2010
WASHINGTON,Total,5095,3367,66.1,2,2692,52.8,2.1,2010
WASHINGTON,18 to 24,584,261,44.6,6.2,159,27.2,5.6,2010
WASHINGTON,25 to 44,1876,1097,58.5,3.5,761,40.5,3.4,2010
WASHINGTON,45 to 64,1849,1366,73.8,3.1,1175,63.6,3.4,2010
WASHINGTON,65 to 74,397,314,79.1,6.2,300,75.7,6.5,2010
WASHINGTON,75+,389,330,84.9,5.5,297,76.2,6.5,2010
WEST VIRGINIA,Total,1420,883,62.2,2.3,581,40.9,2.3,2010
WEST VIRGINIA,18 to 24,149,75,50.1,7.4,28,19,5.8,2010
WEST VIRGINIA,25 to 44,465,279,60.1,4.1,147,31.6,3.9,2010
WEST VIRGINIA,45 to 64,548,335,61.2,3.7,259,47.3,3.8,2010
WEST VIRGINIA,65 to 74,152,118,77.4,6.1,93,60.9,7.1,2010
WEST VIRGINIA,75+,106,76,71.8,7.9,54,50.9,8.7,2010
WISCONSIN,Total,4291,2908,67.8,2.1,2258,52.6,2.3,2010
WISCONSIN,18 to 24,534,219,41,6.4,120,22.5,5.4,2010
WISCONSIN,25 to 44,1431,909,63.5,3.8,630,44,3.9,2010
WISCONSIN,45 to 64,1557,1160,74.5,3.3,963,61.9,3.7,2010
WISCONSIN,65 to 74,401,329,82,5.7,294,73.4,6.6,2010
WISCONSIN,75+,368,292,79.5,6.3,250,68.1,7.3,2010
WYOMING,Total,411,239,58.2,2.7,190,46.1,2.7,2010
WYOMING,18 to 24,51,14,(B),(B),9,(B),(B),2010
WYOMING,25 to 44,144,78,54.4,4.5,55,38,4.4,2010
WYOMING,45 to 64,154,100,64.5,4.2,83,54,4.4,2010
WYOMING,65 to 74,29,22,(B),(B),20,(B),(B),2010
WYOMING,75+,34,25,(B),(B),23,(B),(B),2010
