State,Group,Total Population,Total Citizen Population,Percent registered (Citizen 18+),DUMMY_CI_CITIZEN,Total Registered,Percent registered (Total 18+),Margin of error1,Total Voted,Percent voted (Total 18+),Margin of error1,Year
DC,.Total,469,413,78.3,78.3,324,69,2.6,306,65.3,2.7,2008
DC,.Male,216,186,75.6,75.6,140,65.1,3.9,132,61.3,4,2008
DC,.Female,254,228,80.5,80.5,183,72.3,3.4,174,68.7,3.5,2008
DC,.White alone,203,166,83.8,83.8,139,68.4,3.9,130,64,4.1,2008
DC,..White non-Hispanic alone,161,151,86.1,86.1,130,80.7,3.8,121,75.3,4.1,2008
DC,.Black alone,242,231,74.8,74.8,173,71.5,4.2,165,68.4,4.4,2008
DC,.Asian alone,15,9,(B),(B),6,(B),(B),5,(B),(B),2008
DC,.Hispanic (of any race),50,18,(B),(B),11,(B),(B),11,(B),(B),2008
DC,.White alone or in combination,208,170,83.8,83.8,142,68.4,3.9,134,64.1,4,2008
DC,.Black alone or in combination ,246,235,74.9,74.9,176,71.4,4.2,168,68.2,4.3,2008
DC,.Asian alone or in combination,17,10,(B),(B),7,(B),(B),7,(B),(B),2008
Florida,.Total,"14,069","12,462",70.4,70.4,"8,774",62.4,1.2,"7,951",56.5,1.2,2008
Florida,.Male,"6,774","5,928",68.3,68.3,"4,049",59.8,1.8,"3,677",54.3,1.8,2008
Florida,.Female,"7,294","6,534",72.3,72.3,"4,725",64.8,1.7,"4,274",58.6,1.7,2008
Florida,.White alone,"11,674","10,505",71.7,71.7,"7,533",64.5,1.3,"6,806",58.3,1.4,2008
Florida,..White non-Hispanic alone,"8,980","8,644",71.9,71.9,"6,213",69.2,1.4,"5,635",62.8,1.5,2008
Florida,.Black alone,"1,968","1,685",63.5,63.5,"1,069",54.3,4,985,50.1,4,2008
Florida,.Asian alone,267,157,61,61,96,35.9,11,84,31.3,10.6,2008
Florida,.Hispanic (of any race),"2,909","1,988",69.4,69.4,"1,380",47.4,4.3,"1,227",42.2,4.3,2008
Florida,.White alone or in combination,"11,776","10,582",71.6,71.6,"7,576",64.3,1.3,"6,849",58.2,1.3,2008
Florida,.Black alone or in combination ,"2,073","1,753",63.3,63.3,"1,110",53.6,3.9,"1,026",49.5,3.9,2008
Florida,.Asian alone or in combination,283,161,61.9,61.9,100,35.3,10.6,88,30.9,10.3,2008
Georgia,.Total,"7,018","6,515",71,71,"4,624",65.9,1.7,"4,183",59.6,1.7,2008
Georgia,.Male,"3,323","3,038",69.3,69.3,"2,105",63.3,2.5,"1,883",56.7,2.6,2008
Georgia,.Female,"3,695","3,477",72.4,72.4,"2,519",68.2,2.3,"2,300",62.3,2.4,2008
Georgia,.White alone,"4,729","4,387",70.9,70.9,"3,111",65.8,2.1,"2,789",59,2.1,2008
Georgia,..White non-Hispanic alone,"4,235","4,183",71.3,71.3,"2,983",70.5,2.1,"2,683",63.4,2.2,2008
Georgia,.Black alone,"2,014","1,928",73.4,73.4,"1,414",70.2,3.7,"1,309",65,3.8,2008
Georgia,.Asian alone,229,155,38.5,38.5,60,26,10.9,53,23,10.5,2008
Georgia,.Hispanic (of any race),541,234,63.9,63.9,150,27.7,9,128,23.6,8.6,2008
Georgia,.White alone or in combination,"4,754","4,413",71,71,"3,134",65.9,2,"2,809",59.1,2.1,2008
Georgia,.Black alone or in combination ,"2,046","1,959",73.6,73.6,"1,442",70.5,3.6,"1,334",65.2,3.8,2008
Georgia,.Asian alone or in combination,229,155,38.5,38.5,60,26,10.9,53,23,10.5,2008
Hawaii,.Total,977,883,59.1,59.1,522,53.5,2.5,457,46.8,2.5,2008
Hawaii,.Male,478,433,57.7,57.7,250,52.3,3.6,223,46.6,3.6,2008
Hawaii,.Female,499,450,60.5,60.5,272,54.6,3.5,235,47.1,3.5,2008
Hawaii,.White alone,239,226,65.7,65.7,149,62.1,4.9,136,57,5,2008
Hawaii,..White non-Hispanic alone,215,206,68.6,68.6,141,65.6,5.1,130,60.6,5.2,2008
Hawaii,.Black alone,18,16,(B),(B),2,(B),(B),2,(B),(B),2008
Hawaii,.Asian alone,403,359,61.5,61.5,220,54.6,4.9,199,49.2,4.9,2008
Hawaii,.Hispanic (of any race),49,45,(B),(B),17,(B),(B),15,(B),(B),2008
Hawaii,.White alone or in combination,379,365,60.8,60.8,222,58.5,4,198,52.2,4,2008
Hawaii,.Black alone or in combination ,23,21,(B),(B),5,(B),(B),4,(B),(B),2008
Hawaii,.Asian alone or in combination,548,502,57.7,57.7,290,52.9,4.2,252,46,4.2,2008
Idaho,.Total,"1,095","1,049",68.9,68.9,723,66,2.4,644,58.8,2.5,2008
Idaho,.Male,538,516,68.1,68.1,352,65.3,3.4,313,58.2,3.5,2008
Idaho,.Female,556,533,69.6,69.6,371,66.7,3.3,331,59.4,3.5,2008
Idaho,.White alone,"1,045","1,002",69.6,69.6,697,66.7,2.4,621,59.5,2.5,2008
Idaho,..White non-Hispanic alone,925,918,72.1,72.1,662,71.6,2.5,592,64,2.6,2008
Idaho,.Black alone,11,11,(B),(B),8,(B),(B),8,(B),(B),2008
Idaho,.Asian alone,17,14,(B),(B),7,(B),(B),6,(B),(B),2008
Idaho,.Hispanic (of any race),122,86,42.4,42.4,37,29.9,10.9,30,24.9,10.3,2008
Idaho,.White alone or in combination,"1,050","1,007",69.5,69.5,700,66.7,2.4,624,59.4,2.5,2008
Idaho,.Black alone or in combination ,11,11,(B),(B),8,(B),(B),8,(B),(B),2008
Idaho,.Asian alone or in combination,17,14,(B),(B),7,(B),(B),6,(B),(B),2008
Illinois,.Total,"9,521","8,681",70.9,70.9,"6,151",64.6,1.5,"5,436",57.1,1.5,2008
Illinois,.Male,"4,623","4,204",69,69,"2,900",62.7,2.1,"2,521",54.5,2.2,2008
Illinois,.Female,"4,897","4,477",72.6,72.6,"3,252",66.4,2,"2,914",59.5,2.1,2008
Illinois,.White alone,"7,750","7,128",72.4,72.4,"5,160",66.6,1.6,"4,520",58.3,1.7,2008
Illinois,..White non-Hispanic alone,"6,700","6,468",73.9,73.9,"4,783",71.4,1.7,"4,214",62.9,1.8,2008
Illinois,.Black alone,"1,298","1,260",65.5,65.5,826,63.6,4.8,784,60.4,4.9,2008
Illinois,.Asian alone,360,213,51.2,51.2,109,30.2,9.2,78,21.7,8.2,2008
Illinois,.Hispanic (of any race),"1,081",671,57.4,57.4,385,35.6,6.9,314,29,6.5,2008
Illinois,.White alone or in combination,"7,805","7,178",72.3,72.3,"5,190",66.5,1.6,"4,547",58.3,1.7,2008
Illinois,.Black alone or in combination ,"1,318","1,280",65.9,65.9,843,64,4.8,798,60.5,4.9,2008
Illinois,.Asian alone or in combination,375,228,50.4,50.4,115,30.6,9,84,22.4,8.2,2008
Indiana,.Total,"4,686","4,562",68.1,68.1,"3,105",66.3,2.1,"2,758",58.8,2.1,2008
Indiana,.Male,"2,280","2,207",66.4,66.4,"1,465",64.3,3,"1,290",56.6,3.1,2008
Indiana,.Female,"2,406","2,354",69.6,69.6,"1,640",68.2,2.8,"1,468",61,3,2008
Indiana,.White alone,"4,264","4,156",68.6,68.6,"2,851",66.9,2.1,"2,516",59,2.2,2008
Indiana,..White non-Hispanic alone,"4,080","4,067",69.1,69.1,"2,811",68.9,2.2,"2,485",60.9,2.3,2008
Indiana,.Black alone,370,360,63.3,63.3,228,61.5,9.1,219,59.2,9.2,2008
Indiana,.Asian alone,19,13,(B),(B),3,(B),(B),3,(B),(B),2008
Indiana,.Hispanic (of any race),196,102,44.5,44.5,45,23,14.1,36,18.3,12.9,2008
Indiana,.White alone or in combination,"4,285","4,176",68.6,68.6,"2,866",66.9,2.1,"2,527",59,2.2,2008
Indiana,.Black alone or in combination ,381,371,63.5,63.5,236,61.9,9,225,58.9,9.1,2008
Indiana,.Asian alone or in combination,21,15,(B),(B),5,(B),(B),5,(B),(B),2008
Iowa,.Total,"2,244","2,137",76.3,76.3,"1,630",72.6,2.4,"1,501",66.9,2.5,2008
Iowa,.Male,"1,097","1,040",73.6,73.6,765,69.7,3.5,699,63.7,3.6,2008
Iowa,.Female,"1,147","1,096",78.9,78.9,865,75.4,3.2,801,69.9,3.4,2008
Iowa,.White alone,"2,084","2,005",77.3,77.3,"1,550",74.4,2.4,"1,422",68.2,2.6,2008
Iowa,..White non-Hispanic alone,"1,986","1,977",77.5,77.5,"1,532",77.1,2.4,"1,405",70.7,2.6,2008
Iowa,.Black alone,71,68,(B),(B),42,(B),(B),42,(B),(B),2008
Iowa,.Asian alone,58,32,(B),(B),11,(B),(B),11,(B),(B),2008
Iowa,.Hispanic (of any race),58,31,(B),(B),21,20.7,15.9,20,19.8,15.7,2008
Iowa,.White alone or in combination,58,"2,025",77.5,77.5,"1,569",74.6,2.4,"1,439",68.4,2.5,2008
Iowa,.Black alone or in combination ,58,71,(B),(B),45,(B),(B),45,(B),(B),2008
Iowa,.Asian alone or in combination,58,35,(B),(B),15,(B),(B),15,(B),(B),2008
Kansas,.Total,"2,037","1,926",69.7,69.7,"1,343",65.9,2.5,"1,219",59.8,2.6,2008
Kansas,.Male,992,939,65.7,65.7,617,62.2,3.7,552,55.7,3.8,2008
Kansas,.Female,"1,045",987,73.5,73.5,726,69.5,3.4,667,63.8,3.6,2008
Kansas,.White alone,"1,762","1,700",71.3,71.3,"1,213",68.8,2.7,"1,105",62.7,2.8,2008
Kansas,..White non-Hispanic alone,"1,641","1,631",72,72,"1,174",71.5,2.7,"1,069",65.1,2.8,2008
Kansas,.Black alone,120,114,59.6,59.6,68,56.5,13.3,62,51.3,13.4,2008
Kansas,.Asian alone,70,37,(B),(B),19,(B),(B),19,(B),(B),2008
Kansas,.Hispanic (of any race),136,76,56.6,56.6,43,31.8,15.2,39,28.8,14.8,2008
Kansas,.White alone or in combination,"1,811","1,748",71,71,"1,241",68.5,2.6,"1,126",62.2,2.8,2008
Kansas,.Black alone or in combination ,131,125,58.2,58.2,73,55.5,12.7,66,50.7,12.8,2008
Kansas,.Asian alone or in combination,76,43,(B),(B),25,32.4,16.4,23,30.4,16.1,2008
Kentucky,.Total,"3,179","3,094",73,73,"2,259",71.1,2.4,"1,952",61.4,2.6,2008
Kentucky,.Male,"1,525","1,474",70.8,70.8,"1,044",68.4,3.5,892,58.5,3.7,2008
Kentucky,.Female,"1,653","1,620",75,75,"1,215",73.5,3.2,"1,060",64.1,3.5,2008
Kentucky,.White alone,"2,886","2,840",73,73,"2,074",71.9,2.5,"1,794",62.2,2.7,2008
Kentucky,..White non-Hispanic alone,"2,837","2,826",73,73,"2,064",72.8,2.5,"1,785",62.9,2.7,2008
Kentucky,.Black alone,211,195,70,70,136,64.7,11.8,128,60.6,12.1,2008
Kentucky,.Asian alone,33,11,(B),(B),2,(B),(B),-,(B),(B),2008
Kentucky,.Hispanic (of any race),52,17,(B),(B),13,(B),(B),13,(B),(B),2008
Kentucky,.White alone or in combination,"2,917","2,871",73.2,73.2,"2,102",72.1,2.5,"1,818",62.3,2.7,2008
Kentucky,.Black alone or in combination ,226,210,70.9,70.9,149,65.9,11.3,138,61,11.7,2008
Kentucky,.Asian alone or in combination,37,15,(B),(B),6,(B),(B),4,(B),(B),2008
Louisiana,.Total,"3,161","3,056",78.3,78.3,"2,393",75.7,2.3,"2,149",68,2.4,2008
Louisiana,.Male,"1,478","1,427",77.1,77.1,"1,101",74.5,3.3,984,66.6,3.6,2008
Louisiana,.Female,"1,683","1,628",79.3,79.3,"1,292",76.8,3,"1,165",69.2,3.3,2008
Louisiana,.White alone,"2,119","2,068",79.7,79.7,"1,647",77.7,2.7,"1,490",70.3,2.9,2008
Louisiana,..White non-Hispanic alone,"2,023","2,014",80,80,"1,612",79.7,2.6,"1,458",72.1,2.9,2008
Louisiana,.Black alone,943,943,75.4,75.4,712,75.4,5,625,66.2,5.5,2008
Louisiana,.Asian alone,67,13,(B),(B),6,(B),(B),6,(B),(B),2008
Louisiana,.Hispanic (of any race),100,58,(B),(B),39,39.2,22.6,32,32,21.6,2008
Louisiana,.White alone or in combination,"2,141","2,090",79.7,79.7,"1,665",77.8,2.6,"1,508",70.5,2.9,2008
Louisiana,.Black alone or in combination ,966,966,75.6,75.6,731,75.6,4.9,644,66.6,5.4,2008
Louisiana,.Asian alone or in combination,67,13,(B),(B),6,(B),(B),6,(B),(B),2008
Maine,.Total,"1,020","1,005",79.7,79.7,801,78.5,2.3,716,70.2,2.6,2008
Maine,.Male,492,484,78.6,78.6,380,77.3,3.5,336,68.3,3.8,2008
Maine,.Female,529,521,80.8,80.8,421,79.7,3.2,380,71.9,3.6,2008
Maine,.White alone,981,973,80,80,778,79.3,2.4,698,71.2,2.6,2008
Maine,..White non-Hispanic alone,967,959,80.3,80.3,770,79.7,2.4,691,71.5,2.7,2008
Maine,.Black alone,10,7,(B),(B),5,(B),(B),4,(B),(B),2008
Maine,.Asian alone,4,1,(B),(B),1,(B),(B),1,(B),(B),2008
Maine,.Hispanic (of any race),17,15,(B),(B),9,(B),(B),8,(B),(B),2008
Maine,.White alone or in combination,"1,004",993,79.9,79.9,794,79.1,2.3,709,70.7,2.6,2008
Maine,.Black alone or in combination ,14,9,(B),(B),8,(B),(B),6,(B),(B),2008
Maine,.Asian alone or in combination,4,2,(B),(B),2,(B),(B),1,(B),(B),2008
Maryland,.Total,"4,218","3,824",73.9,73.9,"2,828",67,2.2,"2,611",61.9,2.3,2008
Maryland,.Male,"1,984","1,783",70.3,70.3,"1,254",63.2,3.3,"1,153",58.1,3.4,2008
Maryland,.Female,"2,234","2,041",77.1,77.1,"1,574",70.4,2.9,"1,458",65.3,3.1,2008
Maryland,.White alone,"2,762","2,571",73,73,"1,876",67.9,2.7,"1,725",62.5,2.8,2008
Maryland,..White non-Hispanic alone,"2,521","2,449",73.2,73.2,"1,793",71.1,2.7,"1,644",65.2,2.9,2008
Maryland,.Black alone,"1,177","1,062",78.2,78.2,831,70.6,4.9,788,66.9,5,2008
Maryland,.Asian alone,220,134,59.4,59.4,80,36.2,12.4,62,28.2,11.6,2008
Maryland,.Hispanic (of any race),269,145,63.9,63.9,93,34.5,13.8,91,34,13.8,2008
Maryland,.White alone or in combination,"2,793","2,600",73,73,"1,897",67.9,2.7,"1,745",62.5,2.8,2008
Maryland,.Black alone or in combination ,"1,207","1,092",78.3,78.3,855,70.8,4.8,806,66.8,5,2008
Maryland,.Asian alone or in combination,224,137,59.2,59.2,81,36.2,12.3,63,28.3,11.6,2008
Massachusetts,.Total,"4,962","4,533",72.6,72.6,"3,293",66.4,2,"3,044",61.3,2.1,2008
Massachusetts,.Male,"2,385","2,168",73,73,"1,583",66.4,2.9,"1,458",61.1,3,2008
Massachusetts,.Female,"2,576","2,365",72.3,72.3,"1,710",66.4,2.8,"1,586",61.6,2.9,2008
Massachusetts,.White alone,"4,280","4,044",74.8,74.8,"3,026",70.7,2.1,"2,787",65.1,2.2,2008
Massachusetts,..White non-Hispanic alone,"4,021","3,867",75.7,75.7,"2,928",72.8,2.1,"2,715",67.5,2.2,2008
Massachusetts,.Black alone,310,235,61.9,61.9,145,47,10.2,145,47,10.2,2008
Massachusetts,.Asian alone,324,214,38.4,38.4,82,25.3,9.1,76,23.4,8.9,2008
Massachusetts,.Hispanic (of any race),286,193,53.6,53.6,103,36.2,13.3,77,26.9,12.3,2008
Massachusetts,.White alone or in combination,"4,310","4,075",75,75,"3,056",70.9,2.1,"2,813",65.3,2.2,2008
Massachusetts,.Black alone or in combination ,324,250,64.1,64.1,160,49.4,10,160,49.4,10,2008
Massachusetts,.Asian alone or in combination,324,214,38.4,38.4,82,25.3,9.1,76,23.4,8.9,2008
Michigan,.Total,"7,487","7,176",77.1,77.1,"5,531",73.9,1.5,"4,865",65,1.7,2008
Michigan,.Male,"3,609","3,474",74.6,74.6,"2,590",71.8,2.2,"2,249",62.3,2.4,2008
Michigan,.Female,"3,877","3,702",79.4,79.4,"2,940",75.8,2.1,"2,616",67.5,2.3,2008
Michigan,.White alone,"6,200","6,021",77.1,77.1,"4,642",74.9,1.7,"4,065",65.6,1.8,2008
Michigan,..White non-Hispanic alone,"6,005","5,874",77.6,77.6,"4,557",75.9,1.7,"3,995",66.5,1.8,2008
Michigan,.Black alone,968,956,77.2,77.2,738,76.3,5,679,70.2,5.3,2008
Michigan,.Asian alone,206,91,80.9,80.9,74,35.7,12.7,53,25.9,11.6,2008
Michigan,.Hispanic (of any race),198,147,58.2,58.2,85,43.2,16.6,70,35.5,16.1,2008
Michigan,.White alone or in combination,"6,258","6,079",77,77,"4,680",74.8,1.6,"4,099",65.5,1.8,2008
Michigan,.Black alone or in combination ,991,980,77.2,77.2,756,76.3,4.9,694,70,5.3,2008
Michigan,.Asian alone or in combination,217,102,82.9,82.9,84,38.9,12.6,64,29.6,11.8,2008
Minnesota,.Total,"3,898","3,678",79.7,79.7,"2,931",75.2,2.1,"2,759",70.8,2.2,2008
Minnesota,.Male,"1,927","1,810",77,77,"1,394",72.4,3,"1,295",67.2,3.2,2008
Minnesota,.Female,"1,972","1,868",82.3,82.3,"1,537",77.9,2.8,"1,464",74.2,2.9,2008
Minnesota,.White alone,"3,497","3,403",80.5,80.5,"2,740",78.4,2.1,"2,587",74,2.2,2008
Minnesota,..White non-Hispanic alone,"3,387","3,343",81,81,"2,707",79.9,2,"2,558",75.5,2.2,2008
Minnesota,.Black alone,181,119,73.2,73.2,87,48.3,13.4,82,45.5,13.3,2008
Minnesota,.Asian alone,162,98,63.7,63.7,62,38.4,14.4,56,34.4,14,2008
Minnesota,.Hispanic (of any race),128,68,(B),(B),39,30.4,19,35,27.6,18.5,2008
